type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.39016,9.686,50,0,4.247,29.09,,
T,52.39022,9.68586,50,0,4.259,11.64,,
T,52.39033,9.68557,50,0,4.282,23.23,,
T,52.39036,9.68549,50,0,4.289,6.39,,
T,52.39045,9.68523,50,0,4.309,20.34,,
T,52.39049,9.6851,50,0,4.319,9.91,,
T,52.39053,9.68499,50,0,4.328,8.71,,
T,52.39056,9.68489,50,0,4.335,7.58,,
T,52.39064,9.68462,50,0,4.356,20.42,,
T,52.39072,9.68429,50,0,4.38,24.17,,
T,52.39085,9.68376,50,0,4.419,38.87,,
T,52.39097,9.68321,50,0,4.458,39.75,,
T,52.39115,9.68238,50,0,4.518,59.95,,
T,52.39117,9.68228,50,0,4.525,7.16,,
T,52.39121,9.68211,50,0,4.538,12.4,,
T,52.39128,9.68179,50,0,4.561,23.14,,
T,52.39132,9.68162,50,0,4.573,12.4,,
T,52.39134,9.68155,50,0,4.579,5.26,,
T,52.39137,9.68144,50,0,4.587,8.2,,
T,52.39142,9.68122,50,0,4.603,15.98,,
T,52.39147,9.68102,50,0,4.618,14.71,,
T,52.39148,9.68102,50,0,4.619,1.11,,
T,52.39152,9.68088,50,0,4.629,10.52,,
T,52.39156,9.68073,50,0,4.64,11.14,,
T,52.39161,9.68056,50,0,4.653,12.84,,
T,52.39167,9.68039,50,0,4.666,13.36,,
T,52.39171,9.68026,50,0,4.676,9.91,,
T,52.3918,9.67999,50,0,4.697,20.93,,
T,52.39192,9.67968,50,0,4.722,24.97,,
T,52.39198,9.67951,50,0,4.736,13.36,,
T,52.39212,9.67919,50,0,4.762,26.78,,
T,52.39223,9.67894,50,0,4.783,20.96,,
T,52.39228,9.67883,50,0,4.793,9.33,,
T,52.39234,9.67871,50,0,4.803,10.55,,
T,52.3924,9.67859,50,0,4.814,10.55,,
T,52.39249,9.67841,50,0,4.83,15.83,,
T,52.39254,9.67832,50,0,4.838,8.28,,
T,52.39262,9.67818,50,0,4.851,13.04,,
T,52.3927,9.67804,50,0,4.864,13.04,,
T,52.39278,9.67792,50,0,4.876,12.08,,
T,52.39291,9.67771,50,0,4.896,20.34,,
T,52.3931,9.67744,50,0,4.924,28.01,,
T,52.39322,9.67726,50,0,4.943,18.12,,
T,52.3935,9.67689,50,0,4.983,40.06,,
T,52.39384,9.67644,50,0,5.031,48.68,,
T,52.39391,9.67635,50,0,5.041,9.91,,
T,52.394,9.67622,50,0,5.055,13.36,,
T,52.39426,9.67587,50,0,5.092,37.48,,
T,52.39437,9.67571,50,0,5.108,16.38,,
T,52.39462,9.67533,50,0,5.146,37.99,,
T,52.39479,9.67505,50,0,5.173,26.85,,
T,52.39491,9.67486,50,0,5.192,18.59,,
T,52.39511,9.67452,50,0,5.224,32.11,,
T,52.39525,9.67427,50,0,5.247,23.07,,
T,52.39538,9.67401,50,0,5.27,22.86,,
T,52.39558,9.67363,50,0,5.304,34.12,,
T,52.39565,9.67348,50,0,5.317,12.84,,
T,52.39573,9.67333,50,0,5.33,13.55,,
T,52.39585,9.67305,50,0,5.354,23.27,,
T,52.39593,9.67289,50,0,5.368,14.07,,
T,52.39599,9.67275,50,0,5.379,11.64,,
T,52.39605,9.67261,50,0,5.391,11.64,,
T,52.3961,9.6725,50,0,5.4,9.33,,
T,52.39619,9.67225,50,0,5.42,19.75,,
T,52.39624,9.67212,50,0,5.431,10.45,,
