type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.44137,5.44868,18.9,270,2.67,1.39,,
T,51.44138,5.44858,19,279.1,2.677,7.04,,
T,51.44139,5.4485,19,281.3,2.683,5.67,,
T,51.44141,5.4484,18.9,287.8,2.69,7.3,,
T,51.44143,5.44834,18.8,298.1,2.695,4.73,,
T,51.44146,5.44828,18.8,308.7,2.7,5.34,,
T,51.44155,5.44795,19,293.6,2.725,25.03,,
T,51.44164,5.44764,19,295,2.749,23.77,,
T,51.44168,5.4475,19,294.6,2.76,10.7,,
T,51.4417,5.44743,19,294.6,2.765,5.35,,
T,51.44177,5.44723,19,299.3,2.781,15.94,,
T,51.44183,5.44707,19.3,301,2.794,12.97,,
T,51.44191,5.44683,19.9,298.1,2.813,18.91,,
T,51.44199,5.44664,20,304,2.829,15.93,,
T,51.44208,5.4464,20,301,2.848,19.46,,
T,51.44218,5.44616,20.6,303.8,2.869,20.06,,
T,51.44225,5.44602,20.8,308.7,2.881,12.47,,
T,51.44246,5.44557,21.6,306.8,2.92,39.05,,
T,51.44286,5.44475,22,308,2.992,72.33,,
T,51.44293,5.44459,21.7,305.1,3.006,13.58,,
T,51.44297,5.44451,22,308.7,3.013,7.12,,
T,51.44312,5.44419,22.3,306.9,3.041,27.81,,
T,51.44327,5.44388,22.8,307.8,3.068,27.26,,
T,51.44336,5.44369,22.5,307.2,3.085,16.58,,
T,51.44345,5.44351,20.7,308.7,3.101,16.03,,
T,51.44356,5.44327,18.9,306.3,3.121,20.69,,
T,51.4436,5.44319,19.1,308.7,3.129,7.12,,
T,51.44375,5.44288,20.4,307.8,3.156,27.26,,
T,51.44389,5.44257,23.7,305.9,3.182,26.59,,
T,51.44408,5.44219,23,308.7,3.216,33.84,,
T,51.44413,5.44208,23.2,306.1,3.226,9.46,,
T,51.44428,5.44177,22.9,307.8,3.253,27.26,,
T,51.44436,5.4416,22.7,307.1,3.268,14.8,,
T,51.44451,5.44129,23.5,307.8,3.295,27.26,,
T,51.44457,5.44116,23.4,306.5,3.306,11.24,,
T,51.44467,5.44095,23.4,307.4,3.325,18.36,,
T,51.44477,5.44074,23.6,307.4,3.343,18.36,,
T,51.44493,5.44041,23.5,307.9,3.372,29.04,,
T,51.445,5.44025,24,305.1,3.386,13.58,,
T,51.44517,5.43991,23,308.7,3.416,30.27,,
T,51.44525,5.43974,23.8,307.1,3.431,14.8,,
T,51.44534,5.43956,23.1,308.7,3.447,16.03,,
T,51.44554,5.43914,22.8,307.4,3.483,36.71,,
T,51.44566,5.43887,20.3,305.5,3.506,23.03,,
T,51.44579,5.43861,22.4,308.7,3.53,23.15,,
T,51.4461,5.43795,23.3,307,3.587,57.4,,
T,51.44638,5.43735,23.5,306.8,3.639,52.06,,
T,51.44651,5.43706,22.3,305.7,3.664,24.81,,
T,51.44661,5.43683,22.7,304.9,3.683,19.48,,
T,51.44665,5.43673,23.4,302.7,3.692,8.25,,
T,51.44671,5.4366,23.3,306.5,3.703,11.24,,
T,51.44675,5.4365,22.9,302.7,3.711,8.25,,
T,51.4468,5.43641,22.5,311.7,3.719,8.37,,
T,51.44682,5.43636,22.4,302.7,3.724,4.13,,
T,51.44684,5.43631,22.4,302.7,3.728,4.13,,
T,51.44686,5.43627,22.5,308.7,3.731,3.56,,
T,51.44688,5.43622,22.8,302.7,3.735,4.13,,
T,51.4469,5.43617,23.2,302.7,3.74,4.13,,
T,51.44692,5.43613,23.6,308.7,3.743,3.56,,
T,51.44694,5.43608,24,302.7,3.747,4.13,,
T,51.44698,5.43598,23.4,302.7,3.755,8.25,,
T,51.44713,5.43565,19.8,306.1,3.784,28.37,,
T,51.44719,5.43551,18.7,304.5,3.796,11.8,,
T,51.44731,5.43522,20.5,303.6,3.82,24.18,,
T,51.44732,5.4352,20.8,308.7,3.822,1.78,,
T,51.44735,5.43512,21.8,301,3.828,6.49,,
T,51.44739,5.43503,23,305.5,3.836,7.68,,
T,51.44744,5.4349,23.2,301.7,3.846,10.61,,
T,51.44752,5.43472,23.6,305.5,3.862,15.36,,
T,51.44755,5.43465,23.2,304.5,3.868,5.9,,
T,51.44761,5.4345,22.7,302.7,3.88,12.38,,
T,51.44767,5.43434,22.2,301,3.893,12.97,,
T,51.44772,5.43422,22.4,303.8,3.903,10.03,,
T,51.44773,5.43421,22.5,328.1,3.904,1.31,,
T,51.44777,5.4341,22.9,300.3,3.913,8.85,,
T,51.44783,5.43396,22.2,304.5,3.925,11.8,,
T,51.44789,5.43381,21.6,302.7,3.937,12.38,,
T,51.44797,5.4336,22,301.4,3.954,17.1,,
T,51.44807,5.43336,21.8,303.8,3.975,20.05,,
T,51.44812,5.43321,21.3,298.1,3.986,11.82,,
T,51.44823,5.43291,20.7,300.5,4.011,24.18,,
T,51.4483,5.43274,20.9,303.5,4.025,14.15,,
T,51.4484,5.43244,20.5,298.1,4.048,23.64,,
T,51.4485,5.43216,19.9,299.8,4.071,22.42,,
T,51.44856,5.43202,20.3,304.5,4.083,11.8,,
T,51.44862,5.43184,20.9,298.1,4.097,14.18,,
T,51.44872,5.43154,20.2,298.1,4.12,23.64,,
T,51.44897,5.4308,20.4,298.5,4.179,58.48,,
T,51.44907,5.43049,19.9,297.4,4.203,24.25,,
