type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.87477,5.21261,2.9,325.6,61.041,12.15,,
T,51.87494,5.21241,3,324,61.065,23.4,,
T,51.87504,5.2123,3,325.8,61.078,13.46,,
T,51.87513,5.2122,3,325.6,61.09,12.15,,
T,51.87522,5.2121,3,325.6,61.102,12.15,,
T,51.87529,5.21202,3,324.8,61.112,9.54,,
T,51.87531,5.212,3,328.3,61.114,2.62,,
T,51.87541,5.2119,3,328.3,61.128,13.09,,
T,51.87551,5.21179,3,325.8,61.141,13.46,,
T,51.87559,5.2117,3,325.2,61.152,10.85,,
T,51.87569,5.2116,3,328.3,61.165,13.09,,
T,51.87578,5.2115,3,325.6,61.177,12.15,,
T,51.87579,5.21149,3,328.3,61.178,1.31,,
T,51.87607,5.2112,2.7,327.4,61.215,37.01,,
T,51.87645,5.21084,3,329.7,61.264,49.01,,
T,51.87668,5.21061,3,328.3,61.295,30.1,,
T,51.87669,5.2106,2.9,328.3,61.296,1.31,,
T,51.87671,5.21058,2.8,328.3,61.298,2.62,,
T,51.87673,5.21056,2.8,328.3,61.301,2.62,,
T,51.87684,5.21045,2.6,328.3,61.315,14.39,,
T,51.87687,5.21043,2.6,337.6,61.319,3.61,,
T,51.87688,5.21041,2.6,309,61.321,1.77,,
T,51.87701,5.21029,2.7,330.3,61.338,16.66,,
T,51.87749,5.20984,2.6,329.9,61.399,61.75,,
T,51.87784,5.20951,2.9,329.8,61.444,45.09,,
T,51.87809,5.20929,2.9,331.5,61.476,31.67,,
T,51.87831,5.2091,3,331.9,61.504,27.76,,
T,51.87838,5.20904,3.4,332.1,61.513,8.82,,
T,51.87844,5.20898,3.5,328.3,61.52,7.85,,
T,51.87858,5.20886,3,332.1,61.538,17.63,,
T,51.87872,5.20873,2.8,330.2,61.556,17.97,,
T,51.879,5.2085,2.8,333.1,61.591,34.95,,
T,51.87906,5.20846,2.7,337.6,61.598,7.22,,
T,51.87911,5.20841,2.8,328.3,61.605,6.54,,
T,51.87918,5.20835,2.9,332.1,61.614,8.82,,
T,51.8793,5.20826,3,335.2,61.628,14.72,,
T,51.88053,5.20727,3.8,333.6,61.781,152.9,,
T,51.88092,5.20698,3.9,335.3,61.829,47.77,,
T,51.88169,5.20637,4,333.9,61.924,95.42,,
T,51.88186,5.20623,4.4,333.1,61.946,21.23,,
T,51.88263,5.20563,4.7,334.3,62.041,95.12,,
T,51.88315,5.20521,5,333.5,62.105,64.68,,
T,51.88319,5.20517,5,328.3,62.111,5.23,,
T,51.88338,5.20502,5,334,62.134,23.53,,
T,51.88348,5.20494,5.1,333.7,62.147,12.42,,
T,51.88367,5.20477,5.6,331.1,62.171,24.16,,
T,51.88376,5.20469,5.5,331.2,62.182,11.43,,
T,51.8838,5.20466,5.5,335.2,62.187,4.91,,
T,51.88386,5.20461,5.5,332.8,62.195,7.51,,
T,51.88395,5.20453,5.6,331.2,62.206,11.43,,
T,51.88404,5.20446,5.9,334.4,62.217,11.11,,
T,51.88414,5.20437,6,330.9,62.23,12.74,,
T,51.88424,5.20428,5.9,330.9,62.243,12.74,,
T,51.88433,5.2042,5.9,331.2,62.254,11.43,,
T,51.88438,5.20416,6,333.7,62.26,6.21,,
T,51.88442,5.20413,6,335.2,62.265,4.91,,
T,51.88491,5.2037,5.8,331.6,62.327,62.04,,
T,51.88527,5.20338,6,331.2,62.373,45.72,,
T,51.88557,5.20312,6.7,331.9,62.411,37.88,,
T,51.88575,5.20296,6.5,331.2,62.434,22.86,,
T,51.88603,5.20271,7,331.1,62.469,35.59,,
T,51.88614,5.20262,6.9,333.2,62.483,13.72,,
T,51.88632,5.20246,7,331.2,62.506,22.86,,
T,51.88642,5.20238,6.9,333.7,62.518,12.42,,
T,51.88651,5.2023,6.8,331.2,62.53,11.43,,
T,51.8867,5.20213,6.9,331.1,62.554,24.16,,
T,51.8868,5.20205,6.8,333.7,62.566,12.42,,
T,51.88703,5.20184,6.8,330.6,62.596,29.39,,
T,51.88708,5.2018,6.8,333.7,62.602,6.21,,
T,51.88717,5.20171,6.9,328.3,62.614,11.78,,
T,51.88736,5.20155,7.4,332.5,62.637,23.84,,
T,51.88745,5.20147,7.7,331.2,62.649,11.43,,
T,51.88758,5.20136,7.7,332.4,62.665,16.33,,
T,51.88792,5.20106,5.9,331.4,62.708,43.1,,
T,51.88802,5.20098,4.1,333.7,62.721,12.42,,
T,51.8882,5.20082,1.9,331.2,62.744,22.86,,
T,51.88839,5.20066,1.1,332.5,62.767,23.84,,
T,51.88868,5.20041,3.8,332,62.804,36.57,,
T,51.88874,5.20035,5.1,328.3,62.812,7.85,,
T,51.88876,5.20033,5.6,328.3,62.814,2.62,,
T,51.88886,5.20024,7.6,330.9,62.827,12.74,,
T,51.88897,5.20015,7.7,333.2,62.841,13.72,,
T,51.88906,5.20008,7.6,334.4,62.852,11.11,,
T,51.88916,5.19999,8,330.9,62.865,12.74,,
T,51.88926,5.1999,7.8,330.9,62.878,12.74,,
T,51.88935,5.19982,7.8,331.3,62.889,11.43,,
T,51.88967,5.19953,7.8,330.8,62.93,40.82,,
T,51.88973,5.19948,7.8,332.8,62.937,7.51,,
T,51.88982,5.1994,7.6,331.3,62.949,11.43,,
T,51.88985,5.19938,7.5,337.6,62.952,3.61,,
T,51.88991,5.19932,7.3,328.3,62.96,7.85,,
T,51.89,5.19925,7,334.4,62.971,11.11,,
T,51.8901,5.19916,6.6,330.9,62.984,12.74,,
T,51.89029,5.19899,6.6,331.1,63.008,24.16,,
T,51.89058,5.19874,5.8,332,63.045,36.57,,
T,51.89076,5.19858,5.3,331.3,63.068,22.86,,
T,51.89085,5.19849,5.3,328.3,63.079,11.78,,
T,51.89095,5.19841,5.2,333.7,63.092,12.42,,
T,51.89114,5.19825,4.9,332.5,63.116,23.84,,
T,51.89123,5.19816,4.7,328.3,63.127,11.78,,
T,51.89125,5.19814,4.7,328.3,63.13,2.62,,
T,51.89133,5.19808,4.9,335.2,63.14,9.81,,
T,51.89142,5.198,4.8,331.3,63.151,11.43,,
T,51.89159,5.19785,4.1,331.4,63.173,21.55,,
T,51.8916,5.19784,4.1,328.3,63.174,1.31,,
T,51.8917,5.19775,3.9,331,63.187,12.74,,
T,51.8918,5.19767,3.7,333.7,63.199,12.41,,
T,51.89189,5.19758,3.8,328.3,63.211,11.78,,
T,51.89199,5.1975,3.8,333.7,63.223,12.41,,
T,51.89217,5.19734,3.7,331.3,63.246,22.86,,
T,51.89237,5.19716,3.6,331,63.272,25.47,,
T,51.89252,5.19703,3.6,331.9,63.291,18.94,,
T,51.89256,5.197,3.6,335.2,63.296,4.91,,
T,51.89265,5.19692,3.4,331.3,63.307,11.43,,
T,51.89283,5.19676,3,331.3,63.33,22.86,,
T,51.89294,5.19667,3,333.2,63.344,13.72,,
T,51.89302,5.19659,3,328.3,63.354,10.47,,
T,51.89313,5.1965,2.9,333.2,63.368,13.72,,
T,51.89322,5.19642,2.9,331.3,63.379,11.43,,
T,51.89332,5.19633,3,331,63.392,12.74,,
T,51.89342,5.19625,2.8,333.7,63.404,12.41,,
T,51.89351,5.19617,2.9,331.3,63.416,11.43,,
T,51.8936,5.19608,3,328.3,63.428,11.78,,
T,51.89369,5.196,2.8,331.3,63.439,11.43,,
T,51.89379,5.19592,2.8,333.7,63.451,12.41,,
T,51.89407,5.19567,2.7,331.1,63.487,35.59,,
T,51.89417,5.19557,2.9,328.3,63.5,13.08,,
T,51.89426,5.1955,3,334.4,63.511,11.11,,
T,51.89435,5.19541,3,328.3,63.523,11.78,,
T,51.89444,5.19532,3,328.3,63.535,11.78,,
T,51.89454,5.19523,3,331,63.548,12.74,,
T,51.89462,5.19515,3,328.3,63.558,10.47,,
T,51.89472,5.19506,3,331,63.571,12.74,,
T,51.89481,5.19497,3,328.3,63.582,11.78,,
T,51.89488,5.19491,3,332.1,63.591,8.82,,
T,51.89491,5.19489,3,337.6,63.595,3.61,,
T,51.895,5.1948,3,328.3,63.607,11.78,,
T,51.89509,5.19471,3,328.3,63.618,11.78,,
T,51.89527,5.19453,3.7,328.3,63.642,23.55,,
T,51.89545,5.19436,4,329.8,63.665,23.2,,
T,51.89563,5.19418,4,328.3,63.689,23.55,,
T,51.89572,5.19408,4,325.6,63.701,12.15,,
T,51.89581,5.19399,4,328.3,63.713,11.78,,
T,51.8959,5.19389,4,325.6,63.725,12.15,,
T,51.89599,5.1938,4.3,328.3,63.737,11.78,,
T,51.89609,5.19371,4.6,331,63.749,12.74,,
T,51.89618,5.19361,4.8,325.6,63.762,12.15,,
T,51.89625,5.19353,4.6,324.8,63.771,9.54,,
T,51.89681,5.19295,5.7,327.4,63.845,74,,
T,51.89796,5.19172,8.3,326.6,63.998,153.43,,
T,51.89846,5.19119,8.7,326.8,64.065,66.53,,
T,51.89894,5.19067,8.6,326.2,64.129,64.29,,
T,51.89922,5.19037,7.7,326.5,64.167,37.38,,
T,51.8995,5.19008,9.5,327.4,64.204,37,,
T,51.89975,5.18983,9.5,328.3,64.236,32.71,,
T,51.89993,5.18965,9.3,328.3,64.26,23.55,,
T,51.90003,5.18956,9,331,64.273,12.73,,
T,51.90022,5.18937,9,328.3,64.298,24.86,,
T,51.90031,5.18928,8.9,328.3,64.309,11.78,,
T,51.9004,5.1892,8.6,331.3,64.321,11.43,,
T,51.90049,5.1891,8.4,325.6,64.333,12.15,,
T,51.9006,5.189,8.4,330.7,64.347,14.04,,
T,51.90076,5.18884,8.2,328.3,64.368,20.93,,
T,51.90086,5.18875,7.8,331,64.381,12.73,,
T,51.90104,5.18858,7.3,329.8,64.404,23.2,,
T,51.90113,5.18849,6.9,328.3,64.416,11.78,,
T,51.90133,5.18831,7,331,64.441,25.47,,
T,51.90141,5.18824,6.8,331.6,64.451,10.12,,
T,51.9015,5.18815,6.3,328.3,64.463,11.78,,
T,51.90168,5.18799,6,331.3,64.486,22.86,,
T,51.90177,5.1879,5.6,328.3,64.498,11.77,,
T,51.90187,5.18782,5.3,333.7,64.51,12.41,,
T,51.90196,5.18774,5,331.3,64.521,11.43,,
T,51.90205,5.18765,5,328.3,64.533,11.77,,
T,51.90225,5.18748,4.9,332.3,64.558,25.14,,
T,51.90235,5.18739,4.5,331,64.571,12.73,,
T,51.90243,5.18732,4.3,331.6,64.581,10.12,,
T,51.90254,5.18723,4,333.2,64.595,13.72,,
T,51.90269,5.18709,4,330.1,64.614,19.27,,
T,51.90281,5.18699,3.8,332.8,64.629,15.02,,
T,51.90291,5.1869,3.5,331,64.642,12.73,,
T,51.903,5.18683,3.2,334.4,64.653,11.11,,
T,51.9031,5.18674,3,331,64.666,12.73,,
T,51.90339,5.1865,2.9,333,64.702,36.25,,
T,51.90348,5.18642,2.9,331.3,64.713,11.43,,
T,51.90367,5.18626,2.7,332.5,64.737,23.84,,
T,51.90395,5.18603,2.2,333.1,64.772,34.95,,
T,51.90404,5.18596,2.2,334.4,64.783,11.11,,
T,51.90416,5.18589,2,340.2,64.798,14.19,,
T,51.90421,5.18585,2,333.7,64.804,6.21,,
T,51.90425,5.18582,2,335.2,64.809,4.91,,
T,51.90435,5.18574,2,333.7,64.821,12.41,,
T,51.90445,5.18566,2,333.7,64.833,12.41,,
T,51.90454,5.18559,2,334.4,64.845,11.11,,
T,51.90464,5.18551,2,333.7,64.857,12.41,,
T,51.90473,5.18544,2,334.4,64.868,11.11,,
T,51.90483,5.18536,1.9,333.7,64.881,12.41,,
T,51.90492,5.18529,2,334.4,64.892,11.11,,
T,51.90502,5.18521,1.9,333.7,64.904,12.41,,
T,51.90512,5.18514,1.8,336.6,64.916,12.12,,
T,51.90521,5.18507,1.8,334.4,64.927,11.11,,
T,51.9054,5.18492,1.7,334,64.951,23.53,,
T,51.90552,5.18484,1.6,337.6,64.965,14.44,,
T,51.90579,5.18463,2,334.4,64.999,33.34,,
T,51.90609,5.18441,2,335.7,65.035,36.65,,
T,51.90627,5.18428,1.8,336,65.057,21.94,,
T,51.90635,5.18422,1.8,335.2,65.067,9.81,,
T,51.90648,5.18413,1.7,336.9,65.083,15.73,,
T,51.90658,5.18405,1.6,333.7,65.095,12.41,,
T,51.90667,5.18399,1.6,337.6,65.106,10.83,,
T,51.90687,5.18384,2,335.2,65.131,24.53,,
T,51.90716,5.18362,2,334.9,65.166,35.64,,
T,51.90735,5.18348,1.8,335.6,65.189,23.23,,
T,51.90754,5.18333,2,334,65.213,23.53,,
T,51.90781,5.18314,2,336.5,65.246,32.76,,
T,51.9085,5.18262,2,335.1,65.33,84.7,,
T,51.90864,5.18252,2,336.2,65.347,17.03,,
T,51.90874,5.18243,2.1,331,65.36,12.73,,
T,51.90894,5.18228,2.6,335.2,65.385,24.53,,
T,51.90912,5.18214,2.1,334.4,65.407,22.22,,
T,51.90924,5.18206,2,337.6,65.421,14.44,,
T,51.90931,5.182,2,332.1,65.43,8.82,,
T,51.90951,5.18185,2.1,335.2,65.455,24.53,,
T,51.90981,5.18163,2.6,335.7,65.491,36.65,,
T,51.90991,5.18155,2.5,333.7,65.504,12.41,,
T,51.91011,5.18141,2.6,336.6,65.528,24.25,,
T,51.9103,5.18127,2.4,335.6,65.551,23.23,,
T,51.91051,5.18111,2.2,334.8,65.577,25.83,,
T,51.91071,5.18096,2.3,335.2,65.602,24.53,,
T,51.9109,5.18082,2.7,335.6,65.625,23.23,,
T,51.91109,5.18068,2,335.6,65.648,23.23,,
T,51.91129,5.18053,2,335.2,65.673,24.53,,
T,51.91149,5.18038,2,335.2,65.697,24.53,,
T,51.91169,5.18024,2,336.6,65.721,24.25,,
T,51.91189,5.18009,2,335.2,65.746,24.53,,
T,51.91208,5.17994,2,334,65.769,23.53,,
T,51.91228,5.1798,2,336.6,65.794,24.25,,
T,51.91247,5.17966,2,335.6,65.817,23.23,,
T,51.91267,5.17951,2,335.2,65.841,24.53,,
T,51.91283,5.17939,2,335.2,65.861,19.62,,
T,51.91287,5.17936,2,335.2,65.866,4.91,,
T,51.91307,5.17921,2,335.2,65.891,24.53,,
T,51.91326,5.17907,2.3,335.6,65.914,23.23,,
T,51.91405,5.17849,2,335.6,66.01,96.54,,
T,51.91434,5.17828,2,335.9,66.046,35.35,,
T,51.91463,5.17807,2,335.9,66.081,35.35,,
T,51.91484,5.17791,2,334.8,66.107,25.83,,
T,51.915,5.17779,2,335.2,66.126,19.62,,
T,51.91533,5.17753,2,334.1,66.167,40.84,,
T,51.91552,5.17739,2,335.6,66.191,23.23,,
T,51.91562,5.17731,1.9,333.7,66.203,12.41,,
T,51.91582,5.17717,2,336.6,66.227,24.25,,
T,51.91599,5.17704,2,334.7,66.248,20.92,,
T,51.91616,5.17691,2,334.7,66.269,20.92,,
T,51.91651,5.17666,2,336.2,66.312,42.57,,
T,51.91671,5.17651,2,335.2,66.336,24.53,,
T,51.91681,5.17643,2,333.7,66.349,12.41,,
T,51.91733,5.17605,2,335.7,66.412,63.49,,
T,51.91754,5.17589,2,334.8,66.438,25.83,,
T,51.9176,5.17584,2,332.8,66.445,7.51,,
T,51.91767,5.17579,2,336.2,66.454,8.51,,
T,51.91793,5.17558,2,333.5,66.486,32.34,,
T,51.91818,5.17539,2,334.9,66.517,30.74,,
T,51.91837,5.17523,1.9,332.6,66.541,23.84,,
T,51.91856,5.17507,1.8,332.6,66.565,23.83,,
T,51.91875,5.17491,2,332.6,66.588,23.83,,
T,51.91895,5.17475,2,333.7,66.613,24.83,,
T,51.91914,5.17459,2,332.6,66.637,23.83,,
T,51.91943,5.17433,2,331.1,66.674,36.89,,
T,51.91961,5.17416,2,329.8,66.697,23.19,,
T,51.9198,5.17399,1.9,331.1,66.721,24.16,,
T,51.91999,5.17382,2.2,331.1,66.746,24.16,,
T,51.92018,5.17364,2.2,329.7,66.77,24.5,,
T,51.92046,5.17338,2.2,330.2,66.806,35.92,,
T,51.92083,5.17302,2.1,329,66.854,48.04,,
T,51.9211,5.17274,2,327.4,66.89,35.69,,
T,51.92129,5.17256,1.9,329.7,66.914,24.5,,
T,51.92223,5.1716,2,327.8,67.038,123.7,,
T,51.92248,5.17134,2,327.3,67.071,33.07,,
T,51.92272,5.1711,2,328.3,67.102,31.4,,
T,51.92294,5.17088,1.9,328.3,67.131,28.78,,
T,51.92312,5.1707,1.9,328.3,67.155,23.55,,
T,51.92363,5.17017,1.3,327.3,67.222,67.45,,
T,51.92405,5.16974,1.4,327.7,67.277,55.31,,
T,51.92421,5.16958,1.4,328.3,67.298,20.93,,
T,51.92432,5.16947,1.4,328.3,67.313,14.39,,
T,51.9245,5.16929,1.5,328.3,67.336,23.55,,
T,51.9247,5.16908,2,327.1,67.363,26.53,,
T,51.92494,5.16884,2,328.3,67.394,31.4,,
T,51.92511,5.16867,1.8,328.3,67.416,22.24,,
T,51.92523,5.16855,2,328.3,67.432,15.7,,
T,51.92533,5.16845,1.8,328.3,67.445,13.08,,
T,51.92551,5.16826,2,326.9,67.469,23.92,,
T,51.92586,5.1679,2,327.6,67.515,46.15,,
T,51.92591,5.16785,1.9,328.3,67.522,6.54,,
T,51.92598,5.16777,2,324.8,67.531,9.54,,
T,51.92623,5.16752,2,328.3,67.564,32.7,,
T,51.92642,5.16734,2,329.7,67.589,24.5,,
T,51.9266,5.16715,2,326.9,67.613,23.92,,
T,51.92668,5.16706,2,325.2,67.623,10.84,,
T,51.92687,5.16688,2,329.7,67.648,24.5,,
T,51.92705,5.16669,2,326.9,67.672,23.92,,
T,51.92724,5.1665,2,328.3,67.697,24.85,,
T,51.92741,5.16632,2,326.9,67.719,22.61,,
T,51.9276,5.16613,2,328.3,67.744,24.85,,
T,51.9277,5.16603,2,328.3,67.757,13.08,,
T,51.92785,5.16588,1.9,328.3,67.777,19.62,,
T,51.92788,5.16585,2,328.3,67.781,3.92,,
T,51.92807,5.16566,2,328.3,67.806,24.85,,
T,51.92825,5.16547,2,326.9,67.829,23.92,,
T,51.92843,5.16529,2,328.3,67.853,23.55,,
T,51.92862,5.1651,2.1,328.3,67.878,24.85,,
T,51.9288,5.16491,2,326.9,67.902,23.92,,
T,51.92898,5.16472,2,326.9,67.926,23.92,,
T,51.92907,5.16463,2,328.3,67.937,11.77,,
T,51.92926,5.16445,2,329.7,67.962,24.5,,
T,51.92944,5.16426,2,326.9,67.986,23.91,,
T,51.92962,5.16408,2,328.3,68.009,23.55,,
T,51.92985,5.16384,2,327.2,68.04,30.45,,
T,51.92999,5.16369,2,326.5,68.059,18.68,,
T,51.93017,5.16352,2,329.8,68.082,23.19,,
T,51.93035,5.16334,2,328.3,68.105,23.55,,
T,51.93045,5.16323,2,325.9,68.119,13.46,,
T,51.93064,5.16304,2,328.3,68.144,24.85,,
T,51.9307,5.16298,2,328.3,68.151,7.85,,
T,51.9309,5.16277,1.8,327.1,68.178,26.53,,
T,51.93128,5.16238,1.7,327.7,68.228,50.07,,
T,51.93216,5.16149,1.7,328.1,68.344,115.48,,
T,51.93226,5.16143,1.7,339.7,68.355,11.87,,
T,51.93235,5.16133,1.6,325.6,68.368,12.15,,
T,51.93255,5.16113,1.8,328.3,68.394,26.16,,
T,51.9326,5.16107,1.7,323.5,68.401,6.93,,
T,51.93271,5.16096,1.7,328.3,68.415,14.39,,
T,51.93283,5.16084,1.8,328.3,68.431,15.7,,
T,51.93312,5.16054,1.8,327.5,68.469,38.3,,
T,51.93335,5.1603,1.9,327.2,68.5,30.45,,
T,51.9334,5.16025,1.8,328.3,68.506,6.54,,
T,51.93368,5.15997,1.8,328.3,68.543,36.63,,
T,51.93397,5.15967,1.8,327.5,68.581,38.3,,
T,51.93414,5.15949,1.9,326.9,68.604,22.61,,
T,51.93432,5.15929,1.8,325.6,68.628,24.3,,
T,51.9345,5.1591,1.8,326.9,68.652,23.91,,
T,51.93468,5.1589,2,325.6,68.676,24.3,,
T,51.93471,5.15887,2,328.3,68.68,3.92,,
T,51.93487,5.15868,1.9,323.8,68.702,22.08,,
T,51.93504,5.15848,1.9,324,68.725,23.39,,
T,51.93521,5.15827,2,322.7,68.749,23.8,,
T,51.93538,5.15804,2,320.2,68.774,24.66,,
T,51.93553,5.15785,2,322,68.795,21.2,,
T,51.9357,5.15762,2,320.2,68.82,24.66,,
T,51.93586,5.1574,1.9,319.7,68.843,23.36,,
T,51.93602,5.15717,2.1,318.5,68.867,23.82,,
T,51.93618,5.15693,2,317.2,68.891,24.28,,
T,51.93633,5.15669,2.2,315.4,68.915,23.47,,
T,51.93649,5.15644,1.9,316.1,68.939,24.75,,
T,51.93664,5.1562,2.1,315.4,68.963,23.47,,
T,51.93679,5.15594,2.2,313.1,68.987,24.46,,
T,51.93689,5.15577,2.4,313.7,69.004,16.14,,
T,51.93694,5.15569,2.5,315.4,69.011,7.82,,
T,51.93709,5.15544,2.7,314.2,69.035,23.96,,
T,51.93724,5.15519,2.8,314.2,69.059,23.96,,
T,51.9373,5.15508,2.6,311.5,69.069,10.09,,
T,51.93747,5.1548,2.8,314.6,69.096,26.99,,
T,51.93757,5.15463,2.8,313.7,69.113,16.14,,
T,51.93779,5.15422,3,311,69.15,37.34,,
T,51.93798,5.15388,3,312.2,69.181,31.52,,
T,51.93801,5.15382,3,309,69.187,5.31,,
T,51.93805,5.15377,3,322.4,69.192,5.62,,
T,51.93833,5.15329,3,313.4,69.238,45.39,,
T,51.93837,5.15322,2.8,312.8,69.244,6.56,,
T,51.93839,5.15319,2.7,317.2,69.247,3.03,,
T,51.93841,5.15316,2.6,317.2,69.25,3.03,,
T,51.93845,5.15309,2.5,312.8,69.257,6.56,,
T,51.93857,5.15289,2.1,314.2,69.276,19.17,,
T,51.93861,5.15281,2,309,69.283,7.08,,
T,51.93865,5.15274,1.9,312.8,69.29,6.56,,
T,51.93867,5.15271,1.8,317.2,69.293,3.03,,
T,51.93873,5.15261,1.8,314.2,69.302,9.58,,
T,51.93875,5.15257,1.9,309,69.306,3.54,,
T,51.93878,5.15253,1.9,320.6,69.31,4.33,,
T,51.9388,5.1525,2,317.2,69.313,3.03,,
T,51.93885,5.15242,2,315.4,69.321,7.82,,
T,51.9389,5.15232,2,309,69.33,8.85,,
T,51.93892,5.1523,1.9,328.3,69.332,2.62,,
T,51.93904,5.15209,1.7,312.8,69.352,19.67,,
T,51.93909,5.152,1.9,312,69.36,8.32,,
T,51.93912,5.15195,2,314.2,69.365,4.79,,
T,51.93917,5.15187,2,315.4,69.373,7.82,,
T,51.93926,5.15172,1.7,314.2,69.387,14.38,,
T,51.93932,5.15161,1.6,311.5,69.398,10.09,,
T,51.9394,5.15148,1.7,314.9,69.41,12.62,,
T,51.93948,5.15134,1.9,312.8,69.423,13.11,,
T,51.93953,5.15125,1.8,312,69.432,8.32,,
T,51.93959,5.15116,1.9,317.2,69.441,9.1,,
T,51.93964,5.15106,2,309,69.45,8.85,,
T,51.93971,5.15094,2,313.4,69.461,11.35,,
T,51.93978,5.15083,1.8,315.9,69.472,10.86,,
T,51.93987,5.15067,1.8,312.4,69.487,14.88,,
T,51.93993,5.15058,1.9,317.2,69.496,9.1,,
T,51.94,5.15045,2,311.1,69.508,11.86,,
T,51.94004,5.15039,1.9,317.2,69.514,6.07,,
T,51.94056,5.1495,1.8,313.5,69.598,84.22,,
T,51.94067,5.14932,1.8,314.7,69.615,17.41,,
T,51.94076,5.14917,2,314.2,69.63,14.38,,
T,51.94083,5.14905,2,313.4,69.641,11.35,,
T,51.9409,5.14893,1.8,313.4,69.652,11.35,,
T,51.94105,5.14867,1.8,313.1,69.677,24.46,,
T,51.9412,5.14842,1.8,314.2,69.701,23.96,,
T,51.94135,5.14817,1.6,314.2,69.725,23.96,,
T,51.94149,5.14792,1.6,312.3,69.748,23.2,,
T,51.94164,5.14767,1.4,314.2,69.772,23.96,,
T,51.94179,5.14743,1.7,315.4,69.795,23.47,,
T,51.94193,5.14718,2,312.3,69.819,23.2,,
T,51.94208,5.14693,1.5,314.2,69.843,23.96,,
T,51.94223,5.14667,1.9,313.1,69.867,24.46,,
T,51.94239,5.1464,1.4,313.9,69.893,25.72,,
T,51.94253,5.14616,1.7,313.4,69.915,22.69,,
T,51.94266,5.14595,1.8,315.1,69.936,20.44,,
T,51.94276,5.14578,2,313.7,69.952,16.14,,
T,51.94284,5.14564,2.3,312.8,69.965,13.11,,
T,51.94294,5.14547,2,313.7,69.981,16.14,,
T,51.94305,5.14528,2,313.2,69.999,17.9,,
T,51.94321,5.14501,1.4,313.9,70.025,25.72,,
T,51.94335,5.14476,1.8,312.3,70.048,23.2,,
T,51.9435,5.14451,1.9,314.2,70.072,23.96,,
T,51.94365,5.14427,1.9,315.4,70.096,23.47,,
T,51.9438,5.14401,1.7,313.1,70.12,24.46,,
T,51.94395,5.14376,1.9,314.2,70.144,23.96,,
T,51.9441,5.14349,1.6,312,70.169,24.97,,
T,51.94425,5.14324,2,314.2,70.193,23.96,,
T,51.9444,5.14298,2,313.1,70.217,24.46,,
T,51.94455,5.14274,2,315.4,70.241,23.47,,
T,51.94467,5.14253,2,312.8,70.26,19.67,,
T,51.9447,5.14248,2,314.2,70.265,4.79,,
T,51.94494,5.14208,2,314.2,70.304,38.34,,
T,51.9451,5.14181,2,313.9,70.329,25.72,,
T,51.94526,5.14154,2,313.9,70.355,25.72,,
T,51.94542,5.14127,2,313.9,70.381,25.72,,
T,51.94565,5.14087,2,313,70.418,37.57,,
T,51.94573,5.14073,2,312.8,70.431,13.11,,
T,51.94595,5.14037,1.9,314.8,70.466,34.81,,
T,51.94609,5.14012,2,312.3,70.489,23.2,,
T,51.94624,5.13987,1.5,314.2,70.513,23.96,,
T,51.94638,5.13963,1.3,313.4,70.536,22.69,,
T,51.94653,5.13938,1.5,314.2,70.56,23.96,,
T,51.94668,5.13913,1.2,314.2,70.584,23.96,,
T,51.94682,5.13889,1.4,313.4,70.607,22.69,,
T,51.94697,5.13864,1.9,314.2,70.631,23.96,,
T,51.94712,5.1384,1.5,315.4,70.654,23.47,,
T,51.94725,5.13816,1.7,311.3,70.676,21.94,,
T,51.9474,5.13793,1.7,316.6,70.699,22.99,,
T,51.94754,5.13768,1.5,312.3,70.722,23.2,,
T,51.94769,5.13744,1.4,315.4,70.746,23.47,,
T,51.94777,5.13729,1.7,310.9,70.759,13.62,,
T,51.94785,5.13716,2.3,315,70.772,12.61,,
T,51.948,5.13692,1.3,315.4,70.795,23.47,,
T,51.94815,5.13667,2,314.2,70.819,23.96,,
T,51.94825,5.13649,2,312,70.836,16.64,,
T,51.94853,5.13604,1.9,315.3,70.88,43.91,,
T,51.94863,5.13587,2,313.7,70.896,16.14,,
T,51.94867,5.1358,2.2,312.8,70.903,6.56,,
T,51.94875,5.13566,2.2,312.8,70.916,13.11,,
T,51.94883,5.13553,2,315,70.928,12.61,,
T,51.94898,5.13528,2,314.2,70.952,23.96,,
T,51.94906,5.13515,1.7,315,70.965,12.61,,
T,51.94928,5.13478,2,314,71,35.3,,
T,51.9495,5.13441,2.1,314,71.036,35.3,,
T,51.94966,5.13414,1.3,313.9,71.061,25.72,,
T,51.94988,5.13377,2,314,71.097,35.3,,
T,51.95002,5.13354,2,314.6,71.119,22.2,,
T,51.95011,5.13338,2,312.4,71.134,14.88,,
T,51.95041,5.13288,1.9,314.2,71.182,47.92,,
T,51.95064,5.1325,2.3,314.5,71.218,36.57,,
T,51.95086,5.13212,1.4,313.2,71.254,35.8,,
T,51.951,5.1319,1.5,315.9,71.276,21.71,,
T,51.95109,5.13175,1.7,314.2,71.29,14.37,,
T,51.95139,5.13124,1.5,313.7,71.338,48.41,,
T,51.95154,5.13099,2,314.2,71.362,23.96,,
T,51.95177,5.1306,1.6,313.7,71.399,37.07,,
T,51.95207,5.13011,1.5,314.8,71.447,47.42,,
T,51.95222,5.12985,1.5,313.1,71.471,24.46,,
T,51.95236,5.12962,1.7,314.6,71.494,22.2,,
