type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,51.19847,6.73687,42.2,1.3,6.144,32.23,,
T,51.19847,6.73681,42.3,2.5,6.148,4.19,,
T,51.19849,6.73659,41.3,-6.4,6.164,15.54,,
T,51.1985,6.73631,37.7,-18,6.184,19.6,,
T,51.1985,6.73625,37.1,-15.5,6.188,4.19,,
T,51.19851,6.73606,35.2,-14.6,6.201,13.33,,
T,51.19851,6.73605,35.1,-13.6,6.202,0.7,,
T,51.19859,6.73487,31,-4.8,6.285,82.96,,
T,51.1986,6.73465,31,-0.2,6.3,15.42,,
T,51.19864,6.73404,30.9,-0.3,6.343,42.87,,
T,51.19868,6.73343,30.1,-1.9,6.386,42.87,,
T,51.19875,6.73215,30,-0.1,6.476,89.81,,
T,51.19876,6.732,30,0,6.486,10.54,,
T,51.19882,6.73087,30.2,0.3,6.566,79.27,,
T,51.19891,6.72934,30,-0.2,6.673,107.41,,
T,51.19899,6.72781,32,1.8,6.78,107.31,,
T,51.19904,6.72692,32.1,0.1,6.843,62.46,,
T,51.19911,6.72559,36.9,5.2,6.936,93.29,,
T,51.19911,6.72549,38.1,16.7,6.943,6.99,,
T,51.19911,6.72548,38.2,19.6,6.944,0.7,,
T,51.19912,6.72544,38.8,17.4,6.947,3.01,,
T,51.19912,6.72543,38.9,19.7,6.947,0.7,,
T,51.19912,6.72538,39.6,19.7,6.951,3.49,,
T,51.19913,6.72532,40.4,18.9,6.955,4.34,,
T,51.19916,6.7249,44,12.1,6.985,29.55,,
T,51.19919,6.72447,43.4,-1.9,7.015,30.24,,
T,51.19925,6.72337,41.8,-2.1,7.092,77.18,,
T,51.19927,6.72292,41.2,-1.6,7.124,31.53,,
T,51.19928,6.72267,41.7,2.5,7.141,17.51,,
T,51.19929,6.72249,41.9,1.7,7.154,12.63,,
T,51.19929,6.72241,41.9,0,7.159,5.59,,
T,51.19929,6.72218,41.8,-0.5,7.176,16.08,,
T,51.1993,6.7218,41.2,-2.4,7.202,26.58,,
T,51.1993,6.72176,41.1,-2.7,7.205,2.8,,
T,51.19929,6.72152,40.5,-3.3,7.222,16.81,,
T,51.19928,6.72125,39.9,-3.2,7.241,18.9,,
T,51.19925,6.72093,39.2,-3.2,7.263,22.61,,
T,51.19924,6.72082,39,-2.5,7.271,7.77,,
T,51.19922,6.72066,38.1,-7.6,7.282,11.4,,
T,51.1992,6.72053,37.4,-8.1,7.292,9.36,,
T,51.19919,6.72041,36.8,-6.8,7.3,8.46,,
T,51.19915,6.72019,36.2,-4,7.316,16.01,,
T,51.19913,6.72009,36.2,0.1,7.324,7.34,,
T,51.1991,6.71995,36,-2.1,7.334,10.34,,
T,51.19904,6.71972,35.5,-2.4,7.351,17.41,,
T,51.19897,6.7195,35.3,-1.5,7.369,17.24,,
T,51.19888,6.71926,35,-1.3,7.388,19.54,,
T,51.1988,6.71907,35.2,1.1,7.404,15.99,,
T,51.19869,6.71885,35,-1.1,7.424,19.65,,
T,51.19857,6.71866,35,0,7.443,18.83,,
T,51.19846,6.7185,35,0,7.459,16.58,,
T,51.19835,6.71835,35,0,7.475,16.11,,
T,51.19822,6.7182,35.2,1.1,7.493,17.86,,
T,51.19808,6.71806,35.9,3.8,7.512,18.39,,
T,51.19795,6.71796,36.5,3.9,7.528,16.06,,
T,51.1978,6.71784,38.9,12.5,7.546,18.68,,
T,51.19766,6.71774,40.1,7.5,7.563,17.07,,
T,51.19749,6.71765,40.5,1.9,7.583,19.93,,
T,51.19733,6.71757,40.4,-0.6,7.602,18.66,,
T,51.19702,6.71743,40.9,1.5,7.638,35.85,,
T,51.19697,6.71742,41,0.8,7.643,5.61,,
T,51.1967,6.71731,40.7,-0.8,7.674,31.01,,
T,51.19641,6.71721,41,0.7,7.707,33.01,,
T,51.19627,6.71716,40.9,-0.5,7.723,15.96,,
T,51.19609,6.71709,41,0.6,7.744,20.61,,
T,51.19606,6.71707,41,0,7.748,3.62,,
T,51.19578,6.71696,41,-0.1,7.78,32.09,,
T,51.19565,6.71691,40.6,-2.6,7.795,14.88,,
T,51.19551,6.71685,40.1,-2.7,7.811,16.13,,
T,51.1954,6.7168,40.3,1.3,7.823,12.73,,
T,51.1948,6.71657,40,-0.4,7.892,68.66,,
T,51.19463,6.71652,40,-0.3,7.911,19.23,,
T,51.1934,6.71608,39.6,-0.3,8.052,140.25,,
T,51.19322,6.71602,38.3,-6.2,8.072,20.46,,
T,51.19311,6.71598,37.4,-7.8,8.085,12.55,,
T,51.19301,6.71595,37.3,-0.6,8.096,11.32,,
T,51.19291,6.71591,38.2,8.1,8.107,11.47,,
T,51.19264,6.71581,39.7,4.8,8.138,30.84,,
T,51.19234,6.7157,39.4,-0.9,8.172,34.25,,
T,51.19195,6.71556,40,1.4,8.217,44.48,,
T,51.19177,6.7155,40,-0.2,8.237,20.46,,
T,51.19135,6.71535,41,2.1,8.285,47.89,,
T,51.19005,6.71488,41.5,0.4,8.434,148.31,,
T,51.18967,6.71474,42.9,3.3,8.477,43.39,,
T,51.18949,6.71468,42.6,-1.4,8.497,20.46,,
T,51.1885,6.71435,41.1,-1.3,8.61,112.53,,
T,51.18837,6.7143,39.8,-8.6,8.625,14.88,,
T,51.18824,6.71424,41.2,8.8,8.64,15.06,,
T,51.18779,6.71407,43.2,4,8.691,51.45,,
T,51.18771,6.71404,43.3,0.7,8.701,9.14,,
T,51.18748,6.71395,44,2.5,8.727,26.35,,
T,51.18724,6.71385,43.5,-1.5,8.754,27.6,,
T,51.18701,6.71375,44,1.8,8.781,26.53,,
T,51.18685,6.71368,43.1,-4.8,8.799,18.46,,
T,51.18681,6.71366,42.6,-10.8,8.804,4.66,,
T,51.18667,6.7136,41,-10.4,8.82,16.13,,
T,51.18652,6.71353,42.7,9.9,8.838,17.39,,
T,51.18636,6.71345,44.4,9.4,8.856,18.66,,
T,51.18608,6.71331,44.7,0.8,8.889,32.65,,
T,51.18526,6.71286,44.3,-0.4,8.985,96.5,,
T,51.18493,6.71266,43.9,-1,9.025,39.29,,
T,51.18488,6.71263,43.9,-0.2,9.031,5.94,,
T,51.18454,6.71241,43.8,-0.3,9.072,40.83,,
T,51.18445,6.71235,44,1.6,9.082,10.86,,
T,51.1842,6.71218,43.5,-1.6,9.113,30.25,,
T,51.18388,6.71196,44,1.3,9.151,38.78,,
T,51.18387,6.71195,44,0.2,9.153,1.31,,
T,51.18356,6.71172,43.3,-1.9,9.191,38.05,,
T,51.18351,6.71168,42.5,-11.6,9.197,6.23,,
T,51.18339,6.71159,40.3,-15.5,9.212,14.76,,
