type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.08347,16.57215,240,0.8,15.508,54.34,,
T,49.08302,16.57118,240.8,1,15.595,86.75,,
T,49.08255,16.57021,240.2,-0.7,15.683,88.05,,
T,49.08183,16.56888,238,-1.7,15.809,125.9,,
T,49.08172,16.56867,237.8,-0.7,15.829,19.62,,
T,49.0814,16.56812,237,-1.6,15.882,53.67,,
T,49.08139,16.56809,237,0,15.885,2.46,,
T,49.08111,16.56762,236.4,-1.2,15.931,46.35,,
T,49.08065,16.56686,236.4,-0.1,16.007,75.5,,
T,49.08008,16.56599,235.7,-0.7,16.096,89.77,,
T,49.07973,16.56546,237.6,3.5,16.151,54.9,,
T,49.07962,16.56532,237.5,-0.9,16.167,15.95,,
T,49.0796,16.56527,237.4,-0.8,16.172,4.28,,
T,49.07946,16.56509,237.3,-0.6,16.192,20.38,,
