type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.160690000,16.571960000,229.9,4.9,4.185,17.54,,
T,49.160690000,16.571500000,229.7,-0.7,4.219,33.55,,
T,49.160690000,16.571250000,229.5,-1.1,4.237,18.23,,
T,49.160700000,16.570790000,230.1,1.8,4.271,33.57,,
T,49.160720000,16.570330000,231.1,3.1,4.304,33.62,,
T,49.160730000,16.570070000,230.8,-1.6,4.323,19.00,,
T,49.160740000,16.569870000,230.7,-1.1,4.338,14.63,,
T,49.160750000,16.569620000,230.5,-1.0,4.356,18.27,,
T,49.160770000,16.569390000,230.3,-1.3,4.373,16.92,,
T,49.160800000,16.568920000,232.6,6.7,4.408,34.44,,
T,49.160820000,16.568690000,233.6,6.2,4.425,16.92,,
T,49.160840000,16.568430000,233.3,-1.8,4.444,19.09,,
T,49.160860000,16.568200000,232.4,-5.4,4.461,16.92,,
T,49.160890000,16.567980000,232.0,-2.2,4.477,16.39,,
T,49.160910000,16.567750000,232.7,4.2,4.494,16.92,,
T,49.160940000,16.567510000,234.8,11.4,4.512,17.82,,
T,49.160990000,16.567120000,237.0,7.9,4.541,28.98,,
T,49.161060000,16.566630000,236.1,-2.7,4.577,36.58,,
T,49.161170000,16.565910000,235.1,-1.7,4.631,53.92,,
T,49.161280000,16.565270000,235.2,0.1,4.679,48.26,,
T,49.161360000,16.564870000,235.7,1.6,4.710,30.50,,
T,49.161410000,16.564620000,235.8,0.5,4.729,19.06,,
T,49.161470000,16.564360000,235.5,-1.3,4.749,20.10,,
T,49.161580000,16.563840000,237.2,4.2,4.789,39.85,,
T,49.161710000,16.563310000,236.8,-1.0,4.830,41.27,,
T,49.161800000,16.562960000,236.7,-0.1,4.858,27.42,,
T,49.162000000,16.562260000,238.6,3.4,4.913,55.69,,
T,49.162160000,16.561710000,238.3,-0.7,4.957,43.88,,
T,49.162280000,16.561320000,237.6,-2.4,4.989,31.42,,
T,49.162450000,16.560830000,238.0,1.1,5.029,40.43,,
T,49.162620000,16.560310000,239.6,3.7,5.071,42.38,,
T,49.163060000,16.558980000,236.0,-3.3,5.180,108.64,,
T,49.163770000,16.556920000,232.4,-2.1,5.350,169.73,,
T,49.163910000,16.556510000,231.9,-1.4,5.384,33.71,,
T,49.164050000,16.556090000,231.4,-1.6,5.418,34.36,,
T,49.164120000,16.555880000,231.0,-2.1,5.435,17.18,,
T,49.164800000,16.553850000,231.2,0.1,5.601,166.25,,
T,49.165520000,16.551700000,231.8,0.4,5.777,176.06,,
T,49.165770000,16.550930000,230.1,-2.8,5.840,62.66,,
T,49.165800000,16.550850000,229.9,-2.7,5.847,6.72,,
T,49.165870000,16.550620000,230.3,1.9,5.865,18.49,,
T,49.165880000,16.550590000,230.4,2.5,5.868,2.45,,
T,49.165890000,16.550550000,230.4,1.5,5.871,3.12,,
T,49.166420000,16.548820000,230.9,0.3,6.010,139.26,,
T,49.166490000,16.548610000,230.4,-2.9,6.027,17.18,,
T,49.166670000,16.547970000,230.3,-0.1,6.078,50.79,,
T,49.166800000,16.547520000,231.0,1.8,6.114,35.86,,
T,49.167050000,16.546580000,233.5,3.4,6.188,73.98,,
T,49.167310000,16.545600000,237.6,5.3,6.265,77.10,,
T,49.167460000,16.545000000,236.9,-1.5,6.312,46.83,,
T,49.167660000,16.544170000,233.0,-6.0,6.376,64.49,,
T,49.167870000,16.543270000,233.7,1.1,6.446,69.66,,
T,49.167920000,16.543040000,234.1,1.9,6.464,17.67,,
T,49.168070000,16.542370000,236.0,3.7,6.515,51.63,,
T,49.168180000,16.541880000,236.4,1.0,6.553,37.77,,
T,49.168390000,16.540900000,238.6,3.0,6.628,75.19,,
T,49.168490000,16.540380000,238.7,0.3,6.668,39.52,,
T,49.168510000,16.540280000,238.7,0.2,6.675,7.62,,
T,49.168540000,16.540140000,238.9,1.5,6.686,10.74,,
T,49.168650000,16.539550000,238.5,-0.8,6.731,44.73,,
T,49.168780000,16.538900000,240.9,4.9,6.780,49.56,,
T,49.168830000,16.538590000,242.1,4.9,6.804,23.28,,
T,49.168870000,16.538380000,242.9,5.0,6.820,15.95,,
T,49.168950000,16.537910000,243.0,0.2,6.855,35.41,,
T,49.169010000,16.537510000,244.1,3.7,6.885,29.92,,
