type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.13016,11.62168,53.9,-7.3,2.484,1.31,,
T,52.1304,11.62184,54.1,0.8,2.513,28.87,,
T,52.13053,11.62192,54.8,4.7,2.529,15.47,,
T,52.13068,11.62204,55.3,2.3,2.547,18.6,,
T,52.13071,11.62206,55.4,3.1,2.551,3.61,,
T,52.131,11.62229,55.9,1.5,2.587,35.91,,
T,52.13128,11.62252,56.6,2,2.622,34.91,,
T,52.13152,11.62272,57.4,2.6,2.652,30.01,,
T,52.13154,11.62273,57.5,3.3,2.654,2.33,,
T,52.13154,11.62274,57.5,2.9,2.655,0.68,,
T,52.13181,11.62296,56.5,-2.9,2.688,33.61,,
T,52.13192,11.62305,56,-3.6,2.702,13.7,,
T,52.13206,11.62317,53.9,-12.3,2.72,17.61,,
T,52.13216,11.62325,52.7,-9.7,2.732,12.4,,
T,52.13224,11.62332,52,-6.1,2.742,10.11,,
T,52.13241,11.62346,52,-0.2,2.763,21.21,,
T,52.13246,11.6235,52,0,2.77,6.2,,
T,52.13255,11.62357,53.1,9.5,2.781,11.1,,
T,52.13257,11.6236,53.5,14.8,2.784,3.03,,
T,52.13261,11.62362,54.4,18.9,2.788,4.66,,
T,52.13267,11.62367,55.6,16.6,2.796,7.5,,
T,52.1328,11.62378,57.4,10.9,2.812,16.31,,
T,52.13283,11.6238,57.4,-0.6,2.816,3.61,,
T,52.13296,11.62391,57.5,0.7,2.832,16.31,,
T,52.13309,11.62401,57.2,-2,2.848,16,,
T,52.13322,11.62413,56.8,-2.4,2.865,16.64,,
T,52.13327,11.62417,56.8,-0.2,2.871,6.2,,
T,52.13342,11.62429,56.7,-0.4,2.89,18.6,,
T,52.13364,11.62447,57,1.1,2.917,27.41,,
T,52.13398,11.62475,56,-2.3,2.959,42.41,,
T,52.13432,11.62503,55.4,-1.3,3.002,42.41,,
T,52.13441,11.62512,55.1,-2.8,3.014,11.76,,
T,52.13456,11.62524,55,-0.7,3.032,18.6,,
T,52.13463,11.62531,55,0,3.041,9.15,,
T,52.13491,11.62554,55,0,3.076,34.91,,
T,52.13504,11.62565,55.1,0.9,3.093,16.31,,
T,52.13518,11.62578,54.6,-2.8,3.111,17.94,,
T,52.13528,11.62586,54.2,-3.6,3.123,12.4,,
T,52.13537,11.62594,54.5,2.8,3.134,11.41,,
T,52.13542,11.62599,54.5,0.6,3.141,6.53,,
T,52.13552,11.62607,54.2,-2.7,3.153,12.4,,
T,52.13558,11.62613,54.1,-2,3.161,7.84,,
T,52.13564,11.62618,54.2,1.5,3.169,7.5,,
T,52.1357,11.62624,54.2,0.6,3.176,7.84,,
T,52.13577,11.62629,54.1,-0.9,3.185,8.51,,
T,52.13582,11.62634,54,-1.6,3.191,6.53,,
T,52.13612,11.62661,54,-0.1,3.23,38.16,,
T,52.13647,11.62692,54,0,3.274,44.35,,
T,52.1376,11.62795,54.2,0.2,3.418,144.16,,
T,52.13763,11.62797,54.3,2.8,3.422,3.61,,
T,52.13771,11.62804,54.7,3.9,3.432,10.11,,
T,52.13774,11.62807,54.9,4,3.436,3.92,,
T,52.13784,11.62815,55,1,3.448,12.4,,
T,52.13791,11.6282,55,0,3.457,8.51,,
T,52.13799,11.62826,55,0,3.467,9.8,,
T,52.13828,11.62846,55,0,3.502,35.05,,
T,52.1385,11.62859,55.6,2.1,3.528,26.05,,
T,52.13873,11.62872,55.3,-0.8,3.555,27.1,,
T,52.13904,11.62885,55.9,1.7,3.59,35.62,,
T,52.13925,11.62892,56.7,3.1,3.614,23.85,,
T,52.13936,11.62896,56.2,-3.4,3.627,12.54,,
T,52.1395,11.62899,56.1,-1.1,3.642,15.71,,
T,52.13966,11.62903,56.3,1.2,3.66,18.01,,
T,52.13976,11.62904,56.2,-0.8,3.672,11.15,,
T,52.13989,11.62906,55,-7.8,3.686,14.53,,
T,52.14004,11.62907,53.8,-7.7,3.703,16.7,,
T,52.1401,11.62908,53.2,-7.6,3.71,6.71,,
T,52.14037,11.62908,53.7,1.4,3.74,30.04,,
