type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.16616,11.45561,518,-0.4,3.961,8.46,,
T,48.16621,11.45556,518,0.4,3.967,6.69,,
T,48.16623,11.45554,518,0.2,3.97,2.68,,
T,48.16631,11.45549,518,0,3.98,9.64,,
T,48.16635,11.45547,518,0,3.984,4.69,,
T,48.16637,11.45546,518,0,3.987,2.34,,
T,48.16643,11.45544,518,0,3.994,6.84,,
T,48.16648,11.45542,518,0,3.999,5.76,,
T,48.16659,11.45539,518,0,4.012,12.43,,
T,48.16659,11.45539,518,,4.012,0,,
T,48.16663,11.45538,518,0,4.016,4.51,,
T,48.16669,11.45536,518,0,4.023,6.84,,
T,48.16674,11.45535,518,0,4.029,5.61,,
T,48.16678,11.45533,518,0,4.033,4.69,,
T,48.1668,11.45532,518,0,4.036,2.34,,
T,48.16685,11.4553,518,0,4.042,5.76,,
T,48.16691,11.45526,518,-0.1,4.049,7.31,,
T,48.16695,11.4552,518,-0.2,4.055,6.3,,
T,48.167,11.45514,517.8,-2.5,4.062,7.13,,
T,48.16703,11.45508,517.7,-1.9,4.068,5.57,,
T,48.16704,11.45508,517.7,-3.2,4.069,1.11,,
T,48.16706,11.45502,517.6,-1.4,4.074,4.99,,
T,48.16709,11.45495,517.4,-3.1,4.08,6.18,,
T,48.16711,11.45488,517.2,-2.8,4.086,5.66,,
T,48.16713,11.45481,517.1,-2.2,4.091,5.66,,
T,48.16714,11.45473,517,-1.6,4.097,6.05,,
T,48.16714,11.45465,517.3,4.2,4.103,5.95,,
T,48.16714,11.45458,517.5,4.8,4.109,5.21,,
T,48.16717,11.45449,517.8,4.3,4.116,7.48,,
T,48.1672,11.45437,518,1.7,4.126,9.53,,
T,48.16723,11.45426,518,-0.3,4.134,8.84,,
T,48.16727,11.45412,517.9,-1,4.146,11.32,,
T,48.16728,11.45409,517.8,-0.3,4.148,2.49,,
T,48.16731,11.45401,517.9,0.2,4.155,6.82,,
T,48.16735,11.45391,518,1.2,4.164,8.67,,
T,48.16737,11.45386,518,0.8,4.168,4.33,,
T,48.1674,11.4538,518,0,4.174,5.57,,
T,48.16745,11.45373,518,0,4.181,7.62,,
T,48.16755,11.45357,517.8,-1.1,4.198,16.29,,
T,48.16769,11.45337,517.3,-2.3,4.219,21.53,,
T,48.16779,11.45321,517,-1.9,4.235,16.29,,
T,48.16791,11.45304,517,-0.1,4.254,18.38,,
T,48.16803,11.45286,516.4,-3.2,4.273,18.9,,
T,48.16813,11.4527,515.8,-3.4,4.289,16.29,,
T,48.16817,11.45265,515.8,-0.5,4.295,5.8,,
T,48.16831,11.45244,516.2,1.9,4.317,22.05,,
T,48.16845,11.45222,517,3.6,4.339,22.59,,
T,48.16866,11.4519,517,0,4.373,33.34,,
T,48.16877,11.45175,517,0,4.389,16.56,,
T,48.16883,11.45165,517,0,4.399,9.99,,
T,48.16896,11.45146,517,0,4.42,20.22,,
T,48.16906,11.45131,517,0,4.435,15.75,,
T,48.16917,11.45115,517,0,4.452,17.07,,
T,48.16929,11.45096,517,0,4.472,19.44,,
T,48.1694,11.45079,517,0,4.489,17.59,,
T,48.1695,11.45064,517,0,4.505,15.75,,
T,48.16962,11.45047,517,0,4.524,18.38,,
T,48.16972,11.45031,517,0,4.54,16.29,,
T,48.16986,11.45011,517.3,1.4,4.561,21.53,,
T,48.16998,11.44992,517.1,-1.3,4.581,19.44,,
T,48.17008,11.44977,517,-0.3,4.597,15.75,,
T,48.17019,11.44961,517,0,4.614,17.07,,
T,48.17031,11.44944,517,0,4.632,18.38,,
T,48.17043,11.44925,517,0,4.651,19.44,,
T,48.17055,11.44908,517,0,4.67,18.38,,
T,48.17066,11.44892,517,0,4.687,17.07,,
T,48.17076,11.44876,517,0,4.703,16.29,,
T,48.17088,11.44859,517,0,4.722,18.38,,
T,48.17099,11.44842,517,0,4.739,17.59,,
T,48.1711,11.44825,517,0,4.757,17.59,,
T,48.17122,11.44807,517,0,4.776,18.9,,
T,48.17133,11.4479,517,0,4.793,17.59,,
T,48.17146,11.44771,517,0,4.813,20.22,,
T,48.17155,11.44757,517,0,4.828,14.44,,
T,48.17157,11.44754,517,0,4.831,3.15,,
T,48.17158,11.44752,517,0,4.833,1.86,,
T,48.1717,11.44735,517,0,4.851,18.38,,
T,48.1718,11.44719,517,0,4.868,16.29,,
T,48.17191,11.44702,517,0,4.885,17.59,,
T,48.17201,11.44686,517.3,2,4.901,16.29,,
T,48.17212,11.44667,517,-1.7,4.92,18.69,,
T,48.17222,11.4465,517,-0.1,4.937,16.84,,
T,48.17233,11.44632,517,0,4.955,18.13,,
T,48.17244,11.44614,517,0,4.973,18.13,,
T,48.17254,11.44596,516.9,-0.8,4.991,17.4,,
T,48.17267,11.44575,516.6,-1.3,5.012,21.28,,
T,48.17278,11.44558,516.9,1.9,5.029,17.59,,
T,48.17288,11.44541,516.6,-1.6,5.046,16.84,,
T,48.17298,11.44524,516.2,-2.4,5.063,16.84,,
T,48.17309,11.44506,516,-1.4,5.081,18.13,,
T,48.1732,11.44488,516,0.1,5.099,18.13,,
T,48.17331,11.44471,516,0.2,5.117,17.59,,
T,48.17343,11.44453,516.3,1.6,5.136,18.9,,
T,48.17352,11.44438,516.3,-0.6,5.151,14.99,,
T,48.1744,11.44306,516.1,-0.1,5.29,138.61,,
T,48.17447,11.44296,515.9,-1.9,5.3,10.77,,
T,48.17459,11.44278,516,0.3,5.319,18.9,,
T,48.17471,11.4426,516,0.2,5.338,18.9,,
T,48.17482,11.44242,515.7,-1.5,5.356,18.13,,
T,48.17494,11.44224,516,1.1,5.375,18.9,,
T,48.17506,11.44206,515.7,-1.4,5.394,18.9,,
T,48.17518,11.44189,515.3,-2.2,5.412,18.38,,
T,48.17529,11.44172,514.9,-1.9,5.43,17.59,,
T,48.1753,11.4417,514.9,-2,5.432,1.86,,
T,48.17536,11.44162,514.8,-1.7,5.441,8.94,,
T,48.17541,11.44154,514.7,-0.2,5.449,8.14,,
T,48.17541,11.44153,514.8,2.3,5.45,0.74,,
T,48.17543,11.44151,514.8,0.1,5.452,2.68,,
