type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,50.86895,6.58368,98.8,0.3,2.571,14.12,,
T,50.86892,6.58334,98.9,0.4,2.595,24.17,,
T,50.8689,6.58302,99,0.3,2.618,22.64,,
T,50.86887,6.58261,99,0.1,2.647,29.05,,
T,50.86884,6.58207,99.8,2.2,2.685,38.16,,
T,50.86881,6.58156,99,-2.3,2.721,36.06,,
T,50.86878,6.58105,99,-0.1,2.757,36.06,,
T,50.86875,6.5806,99,0.2,2.789,31.85,,
T,50.86872,6.58015,99.2,0.7,2.821,31.85,,
T,50.86868,6.57957,99.3,0.1,2.862,41.07,,
T,50.86868,6.57948,99.3,0,2.868,6.34,,
T,50.86866,6.57927,100.1,5.6,2.883,14.95,,
T,50.86866,6.57922,100.3,5.1,2.887,3.52,,
T,50.86864,6.57904,100.7,3.2,2.9,12.87,,
T,50.86862,6.57881,101.2,2.9,2.916,16.34,,
T,50.8686,6.57866,101.8,5.4,2.927,10.79,,
T,50.86855,6.57831,101.7,-0.1,2.952,25.26,,
T,50.86851,6.578,100.7,-4.3,2.974,22.27,,
T,50.86846,6.57769,100.1,-2.9,2.997,22.52,,
T,50.86845,6.57764,100.2,2,3.001,3.69,,
T,50.8684,6.57738,100.7,3,3.02,19.13,,
T,50.86836,6.57718,101,1.8,3.035,14.77,,
T,50.86836,6.57717,101,0,3.035,0.7,,
T,50.86834,6.57707,101,0,3.043,7.38,,
T,50.86829,6.57688,101,0,3.057,14.49,,
T,50.86825,6.57669,101,0,3.071,14.1,,
T,50.86821,6.57654,101,0,3.083,11.46,,
T,50.86811,6.5762,101.5,2.1,3.109,26.39,,
T,50.86797,6.57571,101.6,0,3.147,37.85,,
T,50.86789,6.57545,101.2,-1.6,3.167,20.35,,
T,50.86781,6.57519,101.9,3.4,3.188,20.35,,
T,50.86773,6.57494,101.9,-0.3,3.207,19.72,,
T,50.8676,6.57457,102,0.5,3.237,29.79,,
T,50.86751,6.57432,102,0,3.257,20.25,,
T,50.86731,6.57373,102.7,1.5,3.304,47.12,,
T,50.86722,6.57348,103,1.6,3.325,20.25,,
T,50.86702,6.57289,102.7,-0.6,3.372,47.12,,
T,50.86674,6.57217,103.7,1.7,3.431,59.49,,
T,50.86672,6.57207,103.8,1,3.439,7.38,,
T,50.86665,6.57184,104,1.2,3.457,17.97,,
T,50.86662,6.57175,104.1,1.3,3.464,7.16,,
T,50.86652,6.57151,104.2,0.6,3.484,20.23,,
T,50.86652,6.57151,104.2,,3.484,0,,
T,50.86655,6.57146,104.1,-2.5,3.489,4.85,,
T,50.86677,6.5711,104,-0.3,3.524,35.23,,
T,50.8668,6.57105,104,0,3.529,4.85,,
T,50.86695,6.57082,104,0.2,3.552,23.25,,
T,50.8672,6.57046,104.4,0.9,3.59,37.63,,
T,50.86723,6.57042,104.5,2.4,3.594,4.37,,
T,50.86733,6.57028,104.6,0.9,3.609,14.86,,
T,50.86741,6.57019,104.4,-1.6,3.62,10.92,,
T,50.86748,6.5701,104.6,1.8,3.63,10.04,,
T,50.8676,6.56999,104.6,0.1,3.646,15.43,,
T,50.86766,6.56993,104.5,-2.1,3.653,7.9,,
T,50.86774,6.56984,104.6,0.9,3.664,10.92,,
T,50.86774,6.56984,104.6,,3.664,0,,
T,50.86772,6.56975,104.7,2.7,3.671,6.72,,
T,50.86769,6.56959,104.7,-0.4,3.683,11.75,,
T,50.86769,6.56957,104.7,0,3.684,1.41,,
T,50.86769,6.56954,104.7,0,3.686,2.11,,
T,50.8677,6.56947,104.7,0.7,3.691,5.05,,
T,50.8677,6.5692,104.7,0,3.71,19.01,,
T,50.8677,6.56914,104.7,-1.6,3.715,4.22,,
T,50.86771,6.56912,104.6,-1.2,3.716,1.79,,
T,50.86772,6.56891,104.1,-3.8,3.731,14.83,,
T,50.86772,6.5689,104,-4,3.732,0.7,,
T,50.86774,6.56862,104,-0.2,3.752,19.84,,
T,50.86775,6.56852,104.3,4.1,3.759,7.13,,
T,50.86776,6.56841,104.7,4.9,3.767,7.82,,
T,50.86776,6.56818,104.9,1.6,3.783,16.19,,
T,50.86785,6.56655,105.7,0.7,3.898,115.18,,
T,50.8679,6.56558,106,0.4,3.967,68.51,,
T,50.8679,6.56554,106,0,3.969,2.82,,
T,50.86791,6.56547,106,0,3.974,5.05,,
T,50.86792,6.56536,106,0,3.982,7.82,,
T,50.86795,6.56522,106,0,3.993,10.41,,
T,50.86795,6.56521,106,0,3.993,0.7,,
T,50.86796,6.56514,106,0,3.998,5.05,,
T,50.86798,6.56504,106,0,4.006,7.38,,
T,50.868,6.56496,106,0,4.012,6.06,,
T,50.86814,6.56444,106,0,4.052,39.78,,
T,50.86816,6.56436,106,0,4.058,6.06,,
T,50.86833,6.56376,106.5,1,4.104,46.28,,
T,50.8684,6.5635,106.9,2,4.124,19.89,,
T,50.86855,6.56298,107,0.4,4.164,40.23,,
T,50.86858,6.56284,107,0,4.175,10.41,,
T,50.86859,6.5628,107,0,4.178,3.03,,
T,50.86862,6.56271,107,0,4.185,7.16,,
T,50.86864,6.56258,107,0,4.194,9.42,,
T,50.86868,6.56239,107,0,4.208,14.1,,
T,50.8687,6.56231,107,0,4.214,6.06,,
T,50.86907,6.56044,107.6,0.4,4.352,137.92,,
T,50.86913,6.56025,108,2.5,4.367,14.95,,
T,50.86916,6.56013,108,0,4.376,9.08,,
T,50.86929,6.55966,107.6,-1.2,4.412,36.11,,
T,50.86935,6.55945,107.3,-1.3,4.429,16.22,,
T,50.86938,6.55931,107.6,2.5,4.439,10.4,,
T,50.86942,6.55917,108,3.6,4.45,10.81,,
T,50.86943,6.5591,108,0.2,4.455,5.05,,
T,50.86944,6.55903,108,0,4.46,5.05,,
T,50.86946,6.55895,108,-0.2,4.466,6.06,,
T,50.86947,6.55888,108,0.2,4.471,5.05,,
T,50.86949,6.5587,108,0,4.484,12.86,,
T,50.86949,6.5586,108,0,4.491,7.04,,
T,50.86949,6.5585,108,0,4.498,7.04,,
T,50.86949,6.55848,108,0,4.499,1.41,,
T,50.86948,6.5584,108,0,4.505,5.74,,
T,50.86946,6.55825,108,0,4.516,10.79,,
T,50.86942,6.5579,108,0,4.541,25.04,,
T,50.86938,6.55763,108,0,4.56,19.52,,
T,50.86934,6.55738,108,0,4.579,18.15,,
T,50.86927,6.55686,108.6,1.7,4.616,37.42,,
T,50.86921,6.55636,109.8,3.4,4.652,35.82,,
T,50.86916,6.55568,110,0.3,4.7,48.19,,
T,50.86913,6.55516,109.6,-0.9,4.737,36.76,,
T,50.86913,6.55512,109.5,-4.4,4.74,2.82,,
T,50.86913,6.55511,109.5,-4.4,4.74,0.7,,
T,50.86911,6.55484,109.2,-1.4,4.759,19.14,,
T,50.86911,6.55483,109.2,0,4.76,0.7,,
