type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.80977,9.18381,302.7,2.7,5.407,73.32,,
T,48.80988,9.18364,302.1,-3.5,5.424,17.48,,
T,48.80999,9.18348,301.6,-3.2,5.441,16.96,,
T,48.81004,9.18341,301.5,-0.5,5.449,7.57,,
T,48.81013,9.18332,302,3.7,5.461,11.99,,
T,48.81024,9.18317,302.4,2.5,5.477,16.46,,
T,48.8103,9.1831,302.5,1,5.485,8.42,,
T,48.81033,9.18306,302.8,6.7,5.49,4.45,,
T,48.8104,9.18298,303.8,10.2,5.5,9.75,,
T,48.81049,9.18288,305.1,10.4,5.512,12.41,,
T,48.81059,9.18277,306.2,8.7,5.526,13.75,,
T,48.81073,9.18265,307.3,5.6,5.544,17.89,,
T,48.81093,9.18247,308.3,4.1,5.57,25.87,,
T,48.81115,9.18227,308.3,0,5.598,28.54,,
T,48.81126,9.18213,308.2,-0.7,5.614,15.98,,
T,48.81128,9.1821,308.2,-1.1,5.617,3.13,,
T,48.81142,9.18191,307.8,-1.9,5.638,20.91,,
T,48.81163,9.18163,307.5,-1,5.669,31.12,,
T,48.81196,9.18119,301.4,-12.4,5.718,48.9,,
T,48.81207,9.18105,299.2,-13.8,5.734,15.98,,
T,48.81209,9.18101,298.7,-14.7,5.738,3.68,,
T,48.81214,9.18092,297.2,-16.8,5.746,8.64,,
T,48.81241,9.18066,297.9,2,5.782,35.58,,
T,48.81275,9.18032,301.1,7,5.827,45.31,,
T,48.81301,9.18006,299.4,-4.8,5.862,34.65,,
T,48.81321,9.17986,297.9,-5.6,5.889,26.65,,
T,48.81327,9.1798,297.5,-5.4,5.897,8,,
T,48.81354,9.17953,295.8,-4.8,5.933,35.98,,
T,48.81388,9.17921,290.7,-11.4,5.977,44.52,,
T,48.81404,9.17905,290.9,0.7,5.998,21.32,,
T,48.81422,9.17889,291.8,3.9,6.022,23.21,,
T,48.81437,9.17876,292.9,5.9,6.041,19.22,,
T,48.8144,9.17874,293,2.7,6.045,3.65,,
T,48.8146,9.17859,292,-4.1,6.069,24.82,,
T,48.81489,9.17837,289.5,-6.9,6.105,36.07,,
T,48.81504,9.17826,288.2,-6.9,6.124,18.53,,
T,48.81573,9.17777,290.4,2.6,6.209,84.75,,
T,48.81582,9.1777,291,4.8,6.22,11.25,,
T,48.81583,9.17769,291,2,6.221,1.33,,
T,48.81603,9.17753,289.3,-6.7,6.246,25.15,,
T,48.81633,9.17733,284.5,-13.3,6.283,36.45,,
T,48.81655,9.17719,280.1,-16.7,6.309,26.54,,
T,48.81659,9.17716,279.4,-13.1,6.314,4.96,,
T,48.81676,9.17706,278.6,-4.1,6.335,20.28,,
T,48.81685,9.17701,278.8,1.7,6.345,10.66,,
T,48.81701,9.17691,279,1.4,6.365,19.25,,
T,48.81712,9.17684,279.2,1.6,6.378,13.27,,
T,48.81751,9.17658,279.2,0,6.425,47.39,,
T,48.81784,9.17636,277.2,-5,6.465,40.1,,
T,48.81802,9.17623,275.6,-7.4,6.488,22.18,,
T,48.81826,9.17607,272.6,-10.3,6.517,29.16,,
T,48.81843,9.17597,271,-7.9,6.537,20.28,,
T,48.81856,9.1759,269.6,-8.6,6.552,15.34,,
T,48.81867,9.17586,268.8,-6.8,6.565,12.58,,
T,48.81877,9.17582,268.4,-2.9,6.576,11.5,,
T,48.81887,9.17581,268.1,-3.4,6.588,11.14,,
T,48.81904,9.17578,267.7,-2.1,6.607,19.03,,
T,48.8191,9.17577,267.6,-1.2,6.613,6.71,,
T,48.81928,9.17574,267.3,-1.6,6.633,20.14,,
T,48.81966,9.17564,267.1,-0.4,6.676,42.89,,
T,48.81977,9.1756,267.2,0.7,6.689,12.58,,
T,48.8198,9.17558,267.3,3,6.693,3.65,,
T,48.81985,9.17555,267.5,3,6.699,5.98,,
T,48.81988,9.17553,267.6,3,6.702,3.65,,
T,48.81993,9.17548,267.7,2.7,6.709,6.66,,
T,48.82003,9.17542,268,2.1,6.721,11.96,,
T,48.82014,9.1753,268,0,6.736,15.08,,
T,48.82019,9.17525,268,-0.5,6.743,6.66,,
T,48.82023,9.17521,268,-0.2,6.748,5.33,,
T,48.82029,9.17515,268,0.8,6.756,8,,
T,48.8206,9.17489,269.4,3.5,6.795,39.41,,
T,48.82075,9.17475,269.9,2.6,6.815,19.59,,
T,48.82087,9.17465,270.4,3.2,6.83,15.23,,
T,48.82102,9.17452,271.4,5.2,6.849,19.22,,
T,48.82132,9.17426,271.9,1.3,6.888,38.44,,
T,48.82149,9.1741,271.4,-2.5,6.91,22.26,,
T,48.82161,9.174,270.9,-3.1,6.925,15.23,,
