type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.19691,16.40981,159.4,0.1,4.19,23.67,,
T,48.19678,16.40994,159.4,0,4.208,17.39,,
T,48.19662,16.4101,159.2,-0.9,4.229,21.4,,
T,48.19653,16.41019,159.2,0,4.241,12.04,,
T,48.19645,16.41026,159.4,1.4,4.252,10.31,,
T,48.19644,16.41027,159.4,0,4.253,1.34,,
T,48.19636,16.41036,159.1,-2.6,4.264,11.13,,
T,48.19632,16.41041,158.8,-4.5,4.27,5.8,,
T,48.19613,16.41063,159.2,1.4,4.297,26.72,,
T,48.19594,16.41087,159.5,1.1,4.324,27.65,,
T,48.19576,16.41112,159.4,-0.2,4.352,27.31,,
T,48.19567,16.41123,159.2,-1.6,4.364,12.92,,
T,48.19563,16.41129,159.3,1.3,4.371,6.3,,
T,48.19554,16.41141,159.8,4,4.384,13.41,,
T,48.1954,16.41158,159.3,-2.8,4.404,20.05,,
T,48.19516,16.41187,159.5,0.6,4.439,34.31,,
T,48.19502,16.41206,160.3,3.9,4.46,21.02,,
T,48.19492,16.41223,160.2,-0.5,4.476,16.83,,
T,48.19482,16.41238,159.5,-4.6,4.492,15.75,,
T,48.19472,16.41252,159.9,2.9,4.507,15.23,,
T,48.19457,16.41276,160.1,0.7,4.532,24.42,,
T,48.19436,16.4131,160,-0.3,4.566,34.41,,
T,48.19436,16.4131,160,,4.566,0,,
T,48.19428,16.41313,160.3,3.2,4.575,9.17,,
T,48.19425,16.41316,160.4,2.4,4.579,4.01,,
T,48.19422,16.4132,160.5,3.3,4.584,4.47,,
T,48.1942,16.41323,160.7,4.6,4.587,3.15,,
T,48.19418,16.41326,160.8,6.1,4.59,3.15,,
T,48.19415,16.41333,160.9,1.5,4.596,6.18,,
T,48.19407,16.41343,160.3,-5.4,4.608,11.59,,
T,48.19401,16.41352,160.2,-1,4.617,9.45,,
T,48.19394,16.41359,160.6,3.9,4.627,9.36,,
T,48.19382,16.41368,161,2.7,4.642,14.93,,
T,48.1937,16.41376,161,0,4.656,14.61,,
T,48.19359,16.41382,161,0,4.669,13.02,,
T,48.19353,16.41384,161,0,4.676,6.84,,
T,48.19353,16.41384,161,,4.676,0,,
T,48.19343,16.41387,161,0,4.687,11.34,,
T,48.19332,16.41389,161,0,4.7,12.32,,
T,48.19321,16.41388,161,0,4.712,12.25,,
T,48.19308,16.41387,161,0,4.727,14.47,,
T,48.19299,16.41386,161.3,2.6,4.737,10.04,,
T,48.1928,16.41382,162.1,4.2,4.758,21.34,,
T,48.19266,16.41378,163,5.3,4.774,15.85,,
T,48.19236,16.41374,163.1,0.4,4.807,33.49,,
T,48.19232,16.41373,162.9,-3.5,4.812,4.51,,
T,48.19224,16.4137,162.8,-1.3,4.821,9.17,,
T,48.19221,16.41369,162.8,-2,4.824,3.42,,
T,48.19202,16.41368,161.2,-7.4,4.845,21.14,,
T,48.1919,16.41367,160.5,-5,4.859,13.36,,
T,48.19174,16.41365,160.3,-1.3,4.877,17.85,,
T,48.19158,16.4136,160,-1.6,4.895,18.18,,
T,48.19156,16.4136,160,0,4.897,2.22,,
T,48.19141,16.41353,160,0,4.915,17.47,,
T,48.19135,16.4135,160,0,4.922,7.03,,
T,48.19124,16.41345,160,0,4.934,12.78,,
T,48.19117,16.41342,160,0,4.942,8.1,,
T,48.19108,16.41336,160,0,4.953,10.96,,
T,48.19097,16.41327,160,0,4.967,13.94,,
T,48.19086,16.41318,160,0,4.981,13.94,,
T,48.19074,16.4131,160,0,4.996,14.61,,
T,48.19065,16.41294,160,0,5.011,15.55,,
T,48.18998,16.41185,160,0,5.122,110.08,,
T,48.18978,16.41152,160,0.1,5.155,33.11,,
T,48.18942,16.41102,160,0,5.209,54.63,,
T,48.18922,16.41074,160.3,0.9,5.24,30.46,,
T,48.18909,16.41054,161.3,5.1,5.26,20.74,,
T,48.18855,16.40977,163,2,5.343,82.96,,
T,48.18795,16.40888,164.4,1.5,5.437,93.97,,
T,48.18764,16.40841,165.4,2,5.487,49.09,,
T,48.18735,16.408,166.4,2.4,5.531,44.38,,
T,48.18707,16.40759,165.5,-2.1,5.574,43.57,,
T,48.18662,16.40691,167.1,2.3,5.646,71.14,,
T,48.18627,16.40641,167,-0.2,5.699,53.82,,
T,48.18615,16.40624,167,-0.2,5.718,18.38,,
T,48.18588,16.40589,167.8,2.1,5.758,39.73,,
T,48.18578,16.40577,168,1.2,5.772,14.26,,
T,48.18569,16.40564,168,0,5.786,13.91,,
T,48.18552,16.40547,168,0.2,5.808,22.74,,
T,48.1854,16.40535,168.4,2.3,5.824,16.05,,
T,48.18526,16.40522,169.8,7.4,5.843,18.32,,
T,48.18517,16.40515,171,10.9,5.854,11.28,,
T,48.18511,16.40511,171.5,7.1,5.861,7.3,,
T,48.18506,16.40508,171.8,4.7,5.867,5.99,,
T,48.18474,16.40484,172,0.5,5.907,39.81,,
T,48.18468,16.4048,172.1,1.5,5.915,7.3,,
T,48.18462,16.40476,172.3,2.9,5.922,7.3,,
T,48.18443,16.40463,173.3,4.4,5.945,23.23,,
T,48.18437,16.4046,173.4,1.5,5.952,7.03,,
T,48.18424,16.40453,173.7,1.6,5.967,15.36,,
T,48.18408,16.40447,173.9,1.3,5.986,18.34,,
T,48.18388,16.40439,174.6,3.1,6.009,23.02,,
T,48.18381,16.40437,175.3,8.2,6.017,7.92,,
T,48.18376,16.40434,175.9,9.8,6.023,5.99,,
T,48.18373,16.40433,176.1,7.7,6.026,3.42,,
T,48.18345,16.4042,178,5.6,6.059,32.6,,
T,48.18319,16.40408,178.5,1.8,6.089,30.26,,
T,48.18316,16.40407,178.7,5.4,6.092,3.42,,
T,48.18312,16.40406,179,5.9,6.097,4.51,,
T,48.18271,16.40389,181.2,4.8,6.144,47.31,,
T,48.18254,16.40384,181.9,3.3,6.163,19.27,,
T,48.18216,16.40373,182.1,0.5,6.207,43.04,,
T,48.18216,16.40373,182.1,,6.207,0,,
T,48.18208,16.4037,182.2,0.7,6.216,9.17,,
T,48.18197,16.40365,182.1,-0.3,6.228,12.78,,
T,48.18193,16.40363,182.1,-1.3,6.233,4.69,,
T,48.18186,16.40359,182,-0.5,6.242,8.33,,
T,48.18176,16.40353,182.2,1.4,6.253,11.98,,
T,48.18169,16.40348,182.4,2.8,6.262,8.63,,
T,48.18162,16.40343,182.7,2.6,6.271,8.63,,
T,48.18146,16.40329,183,1.9,6.291,20.61,,
T,48.18135,16.40318,183,-0.2,6.306,14.71,,
T,48.18126,16.40307,183.4,3.1,6.319,12.93,,
T,48.18119,16.40298,183.7,2.9,6.329,10.27,,
T,48.1811,16.40286,184,1.8,6.343,13.41,,
T,48.18093,16.40261,184,0,6.369,26.51,,
T,48.18074,16.4023,184.9,2.9,6.4,31.27,,
T,48.18065,16.40217,185.1,1.4,6.414,13.91,,
T,48.18057,16.40203,185.5,3.2,6.428,13.69,,
T,48.18049,16.40193,185.8,2.7,6.44,11.59,,
T,48.18041,16.40182,185.7,-1,6.452,12.08,,
T,48.18033,16.40171,185.3,-2.8,6.464,12.08,,
T,48.18013,16.40145,187.4,7,6.493,29.47,,
T,48.17999,16.4013,188,3,6.512,19.15,,
T,48.17986,16.40118,189,6.1,6.529,16.99,,
T,48.17973,16.40106,189.2,1.3,6.546,16.99,,
T,48.1796,16.40094,189.2,-0.3,6.563,16.99,,
T,48.17947,16.40083,189.1,-0.4,6.58,16.61,,
T,48.17944,16.40081,189.1,-0.6,6.584,3.65,,
T,48.17925,16.40067,189.2,0.4,6.607,23.55,,
T,48.17916,16.40061,189,-1.6,6.618,10.96,,
T,48.179,16.40052,189,0,6.637,19.01,,
T,48.17882,16.40042,189.2,1.2,6.659,21.35,,
T,48.17871,16.40036,189.6,3,6.672,13.02,,
T,48.17856,16.4003,190,2.1,6.689,17.27,,
T,48.17839,16.40023,190.1,0.7,6.708,19.61,,
T,48.17834,16.40022,190.2,1.2,6.714,5.61,,
T,48.1782,16.40017,190.7,3,6.73,16.01,,
T,48.17808,16.40013,191,2,6.744,13.67,,
T,48.17801,16.40012,191,0.5,6.752,7.82,,
T,48.17792,16.40009,191,0,6.762,10.25,,
T,48.17782,16.40007,191,0,6.773,11.22,,
T,48.17774,16.40005,191.1,1.5,6.782,9.02,,
T,48.17762,16.40001,191.6,3.2,6.796,13.67,,
T,48.17704,16.39988,192.8,1.9,6.861,65.21,,
T,48.1767,16.3998,193.6,2.2,6.899,38.27,,
T,48.17635,16.39973,194,0.9,6.938,39.26,,
T,48.17531,16.39949,193.1,-0.8,7.055,117.01,,
T,48.17525,16.39948,193,-1.6,7.062,6.71,,
T,48.17506,16.39944,193,0.1,7.084,21.34,,
T,48.17494,16.39942,193,0.1,7.097,13.43,,
T,48.17439,16.3993,194.2,1.9,7.159,61.8,,
T,48.17427,16.39927,194.6,3.2,7.172,13.53,,
T,48.17417,16.39925,195,3.2,7.183,11.22,,
T,48.174,16.39921,195,0.1,7.203,19.14,,
T,48.17395,16.3992,195,0,7.208,5.61,,
T,48.1739,16.39919,195,0,7.214,5.61,,
T,48.17381,16.39917,195.6,5.6,7.224,10.12,,
T,48.17361,16.39913,197,6.4,7.246,22.44,,
T,48.17334,16.39907,195.7,-4.3,7.277,30.35,,
T,48.17327,16.39905,195.4,-3.4,7.285,7.92,,
T,48.17317,16.39903,195.2,-1.9,7.296,11.22,,
T,48.17306,16.399,195.2,0,7.308,12.43,,
T,48.17297,16.39898,196.1,8.5,7.318,10.12,,
T,48.1729,16.39896,196.8,8.7,7.326,7.92,,
T,48.17284,16.39894,197.3,8.4,7.333,6.84,,
T,48.17278,16.39892,197.9,8,7.34,6.84,,
T,48.17264,16.39887,200.6,16.9,7.356,16.01,,
T,48.17257,16.39885,201.8,15.9,7.364,7.92,,
T,48.17245,16.39879,203.1,8.7,7.378,14.07,,
T,48.17235,16.39874,203.3,1.9,7.39,11.72,,
T,48.1723,16.39872,203.4,2.6,7.396,5.76,,
T,48.17224,16.39868,203.7,3.6,7.403,7.3,,
T,48.17221,16.39866,204,7.1,7.406,3.65,,
T,48.17211,16.3986,205.2,10.6,7.418,11.98,,
T,48.17202,16.39853,206.3,9.1,7.43,11.28,,
T,48.17192,16.39845,207.2,7.1,7.442,12.61,,
T,48.17174,16.39828,208,3.7,7.466,23.67,,
T,48.17171,16.39825,208.2,5.2,7.47,4.01,,
T,48.17164,16.39817,208.9,7,7.48,9.8,,
T,48.17155,16.39806,209.4,4,7.493,12.93,,
T,48.17152,16.39802,209.6,3.2,7.497,4.47,,
T,48.17143,16.39789,209.9,2.5,7.511,13.92,,
T,48.17133,16.39772,210.2,1.4,7.528,16.84,,
T,48.17128,16.39762,210.2,0,7.537,9.29,,
T,48.17124,16.39755,210.1,-1.1,7.544,6.85,,
T,48.17119,16.39745,211.1,11.2,7.553,9.29,,
T,48.17112,16.39727,216.5,34.4,7.569,15.49,,
T,48.17102,16.39701,218.8,10.5,7.591,22.31,,
T,48.17095,16.39679,218.6,-1.1,7.609,18.12,,
T,48.17088,16.39652,219.2,2.7,7.631,21.54,,
T,48.17084,16.39638,220,6.7,7.642,11.32,,
T,48.17081,16.39621,220.1,1,7.655,13.08,,
T,48.17076,16.39598,220.6,2.9,7.673,17.99,,
T,48.17074,16.39587,220.9,3.6,7.682,8.48,,
T,48.17069,16.39555,221,0.4,7.706,24.44,,
T,48.17056,16.39479,222.7,2.9,7.764,58.35,,
T,48.1705,16.39437,222.3,-1.1,7.796,31.94,,
T,48.17046,16.39419,221.4,-6.6,7.811,14.11,,
T,48.17041,16.3939,221.6,0.9,7.833,22.27,,
T,48.17041,16.39384,221.8,4.2,7.837,4.46,,
T,48.17039,16.39376,222.3,7.7,7.844,6.35,,
T,48.17037,16.39368,222.6,5.1,7.85,6.35,,
T,48.17035,16.39357,222.8,2.2,7.858,8.48,,
T,48.17032,16.3934,223.3,3.7,7.872,13.08,,
T,48.17014,16.39284,223.3,0.2,7.918,46.21,,
T,48.1701,16.39274,223,-4,7.926,8.67,,
