Gear No,Input Speed [rpm],Input Torque [Nm],Torque Loss [Nm]
2,2000,2000,116
2,2000,2500,136
2,2000,3000,156
2,2000,3500,176
2,2000,4000,196
2,2000,4500,216
2,2000,5000,236
2,2000,5500,256
2,2500,-5500,262
2,2500,-5000,242
2,2500,-4500,202
2,2500,-4000,202
2,2500,-3500,182
2,2500,-3000,162
2,2500,-2500,142
2,2500,-2000,122
2,2500,-1600,106
2,2500,-1200,90
2,2500,-900,78
2,2500,-600,66
2,2500,-400,58
2,2500,-200,50
2,2500,0,50
2,2500,200,50
2,2500,400,58
2,2500,600,66
2,2500,900,78
2,2500,1200,90
2,2500,1600,106
2,2500,2000,122
2,2500,2500,142
2,2500,3000,162
2,2500,3500,182
2,2500,4000,202
2,2500,4500,222
2,2500,5000,242
2,2500,5500,262
2,3000,-5500,268
2,3000,-5000,248
2,3000,-4500,208
2,3000,-4000,208
2,3000,-3500,188
2,3000,-3000,168
2,3000,-2500,148
2,3000,-2000,128
2,3000,-1600,112
2,3000,-1200,96
2,3000,-900,84
2,3000,-600,72
2,3000,-400,64
2,3000,-200,56
2,3000,0,56
2,3000,200,56
2,3000,400,64
2,3000,600,72
2,3000,900,84
2,3000,1200,96
2,3000,1600,112
2,3000,2000,128
2,3000,2500,148
2,3000,3000,168
2,3000,3500,188
2,3000,4000,208
2,3000,4500,228
2,3000,5000,248
2,3000,5500,268
3,0,-5500,239.2
3,0,-5000,219.2
3,0,-4500,179.2
3,0,-4000,179.2
3,0,-3500,159.2
3,0,-3000,139.2
3,0,-2500,119.2
3,0,-2000,99.2
3,0,-1600,83.2
3,0,-1200,67.2
3,0,-900,55.2
3,0,-600,43.2
3,0,-400,35.2
3,0,-200,27.2
3,0,0,27.2
3,0,200,27.2
3,0,400,35.2
3,0,600,43.2
3,0,900,55.2
3,0,1200,67.2
3,0,1600,83.2
3,0,2000,99.2
3,0,2500,119.2
3,0,3000,139.2
3,0,3500,159.2
3,0,4000,179.2
3,0,4500,199.2
3,0,5000,219.2
3,0,5500,239.2
3,600,-5500,239.2
3,600,-5000,219.2
3,600,-4500,179.2
3,600,-4000,179.2
3,600,-3500,159.2
3,600,-3000,139.2
3,600,-2500,119.2
3,600,-2000,99.2
3,600,-1600,83.2
3,600,-1200,67.2
3,600,-900,55.2
3,600,-600,43.2
3,600,-400,35.2
3,600,-200,27.2
3,600,0,27.2
3,600,200,27.2
3,600,400,35.2
3,600,600,43.2
3,600,900,55.2
3,600,1200,67.2
3,600,1600,83.2
3,600,2000,99.2
3,600,2500,119.2
3,600,3000,139.2
3,600,3500,159.2
3,600,4000,179.2
3,600,4500,199.2
3,600,5000,219.2
3,600,5500,239.2
3,900,-5500,242.8
3,900,-5000,222.8
3,900,-4500,182.8
3,900,-4000,182.8
3,900,-3500,162.8
3,900,-3000,142.8
3,900,-2500,122.8
3,900,-2000,102.8
3,900,-1600,86.8
3,900,-1200,70.8
3,900,-900,58.8
3,900,-600,46.8
3,900,-400,38.8
3,900,-200,30.8
3,900,0,30.8
3,900,200,30.8
3,900,400,38.8
3,900,600,46.8
3,900,900,58.8
3,900,1200,70.8
3,900,1600,86.8
3,900,2000,102.8
3,900,2500,122.8
3,900,3000,142.8
3,900,3500,162.8
3,900,4000,182.8
3,900,4500,202.8
3,900,5000,222.8
3,900,5500,242.8
3,1200,-5500,246.4
3,1200,-5000,226.4
3,1200,-4500,186.4
3,1200,-4000,186.4
3,1200,-3500,166.4
3,1200,-3000,146.4
3,1200,-2500,126.4
3,1200,-2000,106.4
3,1200,-1600,90.4
3,1200,-1200,74.4
3,1200,-900,62.4
3,1200,-600,50.4
3,1200,-400,42.4
3,1200,-200,34.4
3,1200,0,34.4
3,1200,200,34.4
3,1200,400,42.4
3,1200,600,50.4
3,1200,900,62.4
3,1200,1200,74.4
3,1200,1600,90.4
3,1200,2000,106.4
3,1200,2500,126.4
3,1200,3000,146.4
3,1200,3500,166.4
3,1200,4000,186.4
3,1200,4500,206.4
3,1200,5000,226.4
3,1200,5500,246.4
3,1600,-5500,251.2
3,1600,-5000,231.2
3,1600,-4500,191.2
3,1600,-4000,191.2
3,1600,-3500,171.2
3,1600,-3000,151.2
3,1600,-2500,131.2
3,1600,-2000,111.2
3,1600,-1600,95.2
3,1600,-1200,79.2
3,1600,-900,67.2
3,1600,-600,55.2
3,1600,-400,47.2
3,1600,-200,39.2
3,1600,0,39.2
3,1600,200,39.2
3,1600,400,47.2
3,1600,600,55.2
3,1600,900,67.2
3,1600,1200,79.2
3,1600,1600,95.2
3,1600,2000,111.2
3,1600,2500,131.2
3,1600,3000,151.2
3,1600,3500,171.2
3,1600,4000,191.2
3,1600,4500,211.2
3,1600,5000,231.2
3,1600,5500,251.2
3,2000,-5500,256
3,2000,-5000,236
3,2000,-4500,196
3,2000,-4000,196
3,2000,-3500,176
3,2000,-3000,156
3,2000,-2500,136
3,2000,-2000,116
3,2000,-1600,100
3,2000,-1200,84
3,2000,-900,72
3,2000,-600,60
3,2000,-400,52
3,2000,-200,44
3,2000,0,44
3,2000,200,44
3,2000,400,52
3,2000,600,60
3,2000,900,72
3,2000,1200,84
3,2000,1600,100
3,2000,2000,116
3,2000,2500,136
3,2000,3000,156
3,2000,3500,176
3,2000,4000,196
3,2000,4500,216
3,2000,5000,236
3,2000,5500,256
3,2500,-5500,262
3,2500,-5000,242
3,2500,-4500,202
3,2500,-4000,202
3,2500,-3500,182
3,2500,-3000,162
3,2500,-2500,142
3,2500,-2000,122
3,2500,-1600,106
3,2500,-1200,90
3,2500,-900,78
3,2500,-600,66
3,2500,-400,58
3,2500,-200,50
3,2500,0,50
3,2500,200,50
3,2500,400,58
3,2500,600,66
3,2500,900,78
3,2500,1200,90
3,2500,1600,106
3,2500,2000,122
3,2500,2500,142
3,2500,3000,162
3,2500,3500,182
3,2500,4000,202
3,2500,4500,222
3,2500,5000,242
3,2500,5500,262
3,3000,-5500,268
3,3000,-5000,248
3,3000,-4500,208
3,3000,-4000,208
3,3000,-3500,188
3,3000,-3000,168
3,3000,-2500,148
3,3000,-2000,128
3,3000,-1600,112
3,3000,-1200,96
3,3000,-900,84
3,3000,-600,72
3,3000,-400,64
3,3000,-200,56
3,3000,0,56
3,3000,200,56
3,3000,400,64
3,3000,600,72
3,3000,900,84
3,3000,1200,96
3,3000,1600,112
3,3000,2000,128
3,3000,2500,148
3,3000,3000,168
3,3000,3500,188
3,3000,4000,208
3,3000,4500,228
3,3000,5000,248
3,3000,5500,268
4,0,-5500,239.2
4,0,-5000,219.2
4,0,-4500,179.2
4,0,-4000,179.2
4,0,-3500,159.2
4,0,-3000,139.2
4,0,-2500,119.2
4,0,-2000,99.2
4,0,-1600,83.2
4,0,-1200,67.2
4,0,-900,55.2
4,0,-600,43.2
4,0,-400,35.2
4,0,-200,27.2
4,0,0,27.2
4,0,200,27.2
4,0,400,35.2
4,0,600,43.2
4,0,900,55.2
4,0,1200,67.2
4,0,1600,83.2
4,0,2000,99.2
4,0,2500,119.2
4,0,3000,139.2
4,0,3500,159.2
4,0,4000,179.2
4,0,4500,199.2
4,0,5000,219.2
4,0,5500,239.2
4,600,-5500,239.2
4,600,-5000,219.2
4,600,-4500,179.2
4,600,-4000,179.2
4,600,-3500,159.2
4,600,-3000,139.2
4,600,-2500,119.2
4,600,-2000,99.2
4,600,-1600,83.2
4,600,-1200,67.2
4,600,-900,55.2
4,600,-600,43.2
4,600,-400,35.2
4,600,-200,27.2
4,600,0,27.2
4,600,200,27.2
4,600,400,35.2
4,600,600,43.2
4,600,900,55.2
4,600,1200,67.2
4,600,1600,83.2
4,600,2000,99.2
4,600,2500,119.2
4,600,3000,139.2
4,600,3500,159.2
4,600,4000,179.2
4,600,4500,199.2
4,600,5000,219.2
4,600,5500,239.2
4,900,-5500,242.8
4,900,-5000,222.8
4,900,-4500,182.8
4,900,-4000,182.8
4,900,-3500,162.8
4,900,-3000,142.8
4,900,-2500,122.8
4,900,-2000,102.8
4,900,-1600,86.8
4,900,-1200,70.8
4,900,-900,58.8
4,900,-600,46.8
4,900,-400,38.8
4,900,-200,30.8
4,900,0,30.8
4,900,200,30.8
4,900,400,38.8
4,900,600,46.8
4,900,900,58.8
4,900,1200,70.8
4,900,1600,86.8
4,900,2000,102.8
4,900,2500,122.8
4,900,3000,142.8
4,900,3500,162.8
4,900,4000,182.8
4,900,4500,202.8
4,900,5000,222.8
4,900,5500,242.8
4,1200,-5500,246.4
4,1200,-5000,226.4
4,1200,-4500,186.4
4,1200,-4000,186.4
4,1200,-3500,166.4
4,1200,-3000,146.4
4,1200,-2500,126.4
4,1200,-2000,106.4
4,1200,-1600,90.4
4,1200,-1200,74.4
4,1200,-900,62.4
4,1200,-600,50.4
4,1200,-400,42.4
4,1200,-200,34.4
4,1200,0,34.4
4,1200,200,34.4
4,1200,400,42.4
4,1200,600,50.4
4,1200,900,62.4
4,1200,1200,74.4
4,1200,1600,90.4
4,1200,2000,106.4
4,1200,2500,126.4
4,1200,3000,146.4
4,1200,3500,166.4
4,1200,4000,186.4
4,1200,4500,206.4
4,1200,5000,226.4
4,1200,5500,246.4
4,1600,-5500,251.2
4,1600,-5000,231.2
4,1600,-4500,191.2
4,1600,-4000,191.2
4,1600,-3500,171.2
4,1600,-3000,151.2
4,1600,-2500,131.2
4,1600,-2000,111.2
4,1600,-1600,95.2
4,1600,-1200,79.2
4,1600,-900,67.2
4,1600,-600,55.2
4,1600,-400,47.2
4,1600,-200,39.2
4,1600,0,39.2
4,1600,200,39.2
4,1600,400,47.2
4,1600,600,55.2
4,1600,900,67.2
4,1600,1200,79.2
4,1600,1600,95.2
4,1600,2000,111.2
4,1600,2500,131.2
4,1600,3000,151.2
4,1600,3500,171.2
4,1600,4000,191.2
4,1600,4500,211.2
4,1600,5000,231.2
4,1600,5500,251.2
4,2000,-5500,256
4,2000,-5000,236
4,2000,-4500,196
4,2000,-4000,196
4,2000,-3500,176
4,2000,-3000,156
4,2000,-2500,136
4,2000,-2000,116
4,2000,-1600,100
4,2000,-1200,84
4,2000,-900,72
4,2000,-600,60
4,2000,-400,52
4,2000,-200,44
4,2000,0,44
4,2000,200,44
4,2000,400,52
4,2000,600,60
4,2000,900,72
4,2000,1200,84
4,2000,1600,100
4,2000,2000,116
4,2000,2500,136
4,2000,3000,156
4,2000,3500,176
4,2000,4000,196
4,2000,4500,216
4,2000,5000,236
4,2000,5500,256
4,2500,-5500,262
4,2500,-5000,242
4,2500,-4500,202
4,2500,-4000,202
4,2500,-3500,182
4,2500,-3000,162
4,2500,-2500,142
4,2500,-2000,122
4,2500,-1600,106
4,2500,-1200,90
4,2500,-900,78
4,2500,-600,66
4,2500,-400,58
4,2500,-200,50
4,2500,0,50
4,2500,200,50
4,2500,400,58
4,2500,600,66
4,2500,900,78
4,2500,1200,90
4,2500,1600,106
4,2500,2000,122
4,2500,2500,142
4,2500,3000,162
4,2500,3500,182
4,2500,4000,202
4,2500,4500,222
4,2500,5000,242
4,2500,5500,262
4,3000,-5500,268
4,3000,-5000,248
4,3000,-4500,208
4,3000,-4000,208
4,3000,-3500,188
4,3000,-3000,168
4,3000,-2500,148
4,3000,-2000,128
4,3000,-1600,112
4,3000,-1200,96
4,3000,-900,84
4,3000,-600,72
4,3000,-400,64
4,3000,-200,56
4,3000,0,56
4,3000,200,56
4,3000,400,64
4,3000,600,72
4,3000,900,84
4,3000,1200,96
4,3000,1600,112
4,3000,2000,128
4,3000,2500,148
4,3000,3000,168
4,3000,3500,188
4,3000,4000,208
4,3000,4500,228
4,3000,5000,248
4,3000,5500,268
5,0,-5500,239.2
5,0,-5000,219.2
5,0,-4500,179.2
5,0,-4000,179.2
5,0,-3500,159.2
5,0,-3000,139.2
5,0,-2500,119.2
5,0,-2000,99.2
5,0,-1600,83.2
5,0,-1200,67.2
5,0,-900,55.2
5,0,-600,43.2
5,0,-400,35.2
5,0,-200,27.2
5,0,0,27.2
5,0,200,27.2
5,0,400,35.2
5,0,600,43.2
5,0,900,55.2
5,0,1200,67.2
5,0,1600,83.2
5,0,2000,99.2
5,0,2500,119.2
5,0,3000,139.2
5,0,3500,159.2
5,0,4000,179.2
5,0,4500,199.2
5,0,5000,219.2
5,0,5500,239.2
5,600,-5500,239.2
5,600,-5000,219.2
5,600,-4500,179.2
5,600,-4000,179.2
5,600,-3500,159.2
5,600,-3000,139.2
5,600,-2500,119.2
5,600,-2000,99.2
5,600,-1600,83.2
5,600,-1200,67.2
5,600,-900,55.2
5,600,-600,43.2
